"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Introduction to Computation","202
001","20","3.526","40.0","30.0","15.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Intro to Discrete Mathematics","240
001","77","3.039","16.9","23.4","31.2","13.0","13.0","2.6",".",".",".",".",".",".",".",".",".","."
"Digtl Society: Comptrs&Technol","250
001","16","3.563","75.0",".","6.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".","."
"","252
001","26","2.740","15.4","23.1","19.2","3.8","23.1","7.7","3.8","3.8",".",".",".",".",".",".",".","."
"","252
002","44","3.057","31.8","9.1","18.2","20.5","20.5",".",".",".",".",".",".",".",".",".",".","."
"","003
252","36","3.347","55.6","11.1","8.3","13.9","5.6","2.8","2.8",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","106","3.081","35.8","13.2","15.1","14.2","16.0","2.8","1.9","0.9",".",".",".",".",".",".",".","."
"","298
001","46","",".",".",".",".",".",".",".",".",".","97.8",".",".",".",".",".","2.2"
"","298
065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Comp Sci","Course Total","47","",".",".",".",".",".",".",".",".",".","97.9",".",".",".",".",".","2.1"
"","001
302","126","3.053","31.7","13.5","19.0","15.9","11.9","0.8","4.0","3.2",".",".",".",".",".",".",".","."
"","302
002","149","2.958","37.6","10.1","16.1","7.4","16.1","1.3","8.1","2.7","0.7",".",".",".",".",".",".","."
"","302
003","29","2.690","24.1","6.9","24.1","13.8","20.7",".","10.3",".",".",".",".",".",".",".",".","."
"","302
005","11","2.636","9.1","27.3","27.3","9.1","9.1","9.1","9.1",".",".",".",".",".",".",".",".","."
"","006
302","29","3.103","27.6","24.1","17.2","10.3","17.2","3.4",".",".",".",".",".",".",".",".",".","."
"","302
007","25","3.354","52.0","8.0","16.0","4.0","12.0","4.0",".","4.0",".",".",".",".",".",".",".","."
"Introduction to Programming","Course Total","369","2.997","33.9","12.5","18.2","10.8","14.6","1.6","5.7","2.4","0.3",".",".",".",".",".",".","."
"","310
001","72","3.146","19.4","15.3","48.6","11.1","4.2","1.4",".",".",".",".",".",".",".",".",".","."
"","310
002","27","3.000","22.2","14.8","48.1",".",".","3.7","7.4","3.7",".",".",".",".",".",".",".","."
"Prob Solvng Using Computers","Course Total","99","3.107","20.2","15.2","48.5","8.1","3.0","2.0","2.0","1.0",".",".",".",".",".",".",".","."
"","352
001","46","2.707","19.6","21.7","13.0","19.6","10.9","6.5","8.7",".",".",".",".",".",".",".",".","."
"","352
002","19","2.789","15.8","15.8","21.1","36.8",".","5.3","5.3",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","65","2.731","18.5","20.0","15.4","24.6","7.7","6.2","7.7",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","354
001","79","3.564","62.0","15.2","10.1","2.5","6.3","1.3","1.3","1.3",".",".",".",".",".",".",".","."
"","367
001","76","3.079","34.2","9.2","26.3","14.5","11.8",".","3.9",".",".",".",".",".",".",".",".","."
"","367
002","64","2.992","35.9","4.7","23.4","9.4","15.6","4.7","3.1","1.6",".",".",".",".",".","1.6",".","."
"Intro to Data Structures","Course Total","140","3.040","35.0","7.1","25.0","12.1","13.6","2.1","3.6","0.7",".",".",".",".",".","0.7",".","."
"Learn New Programming Lang","368
001","33","",".",".",".",".",".",".",".",".",".","93.9","6.1",".",".",".",".","."
"Tech:Computer-Based Bus Sys","371
003","15","3.400","60.0","13.3",".","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Intro to Numerical Methods","412
001","42","3.075","26.2","16.7","21.4","11.9","16.7","2.4",".","2.4",".",".",".",".",".",".",".","2.4"
"Introduction to Cryptography","435
001","27","2.648","18.5","11.1","33.3","7.4","14.8","3.7","11.1",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","10","3.300","20.0","40.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Numerical Analysis","514
001","6","3.083","16.7","50.0","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"Intro to Theory of Computing","520
001","18","3.056","22.2","33.3","22.2",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","27","3.037","25.9","11.1","37.0","3.7","18.5","3.7",".",".",".",".",".",".",".",".",".","."
"Image Processing","533
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536
001","26","3.308","38.5","23.1","23.1",".","11.5","3.8",".",".",".",".",".",".",".",".",".","."
"","537
001","58","3.425","46.6","31.0","1.7","15.5","1.7",".","3.4",".",".",".",".",".",".",".",".","."
"","537
002","32","3.161","28.1","21.9","18.8","18.8","6.3","3.1",".",".",".",".",".",".",".","3.1",".","."
"Intro to Operating Systems","Course Total","90","3.331","40.0","27.8","7.8","16.7","3.3","1.1","2.2",".",".",".",".",".",".","1.1",".","."
"","540
001","41","2.902","22.0","17.1","17.1","22.0","17.1","2.4","2.4",".",".",".",".",".",".",".",".","."
"","540
002","33","2.864","18.2","21.2","18.2","18.2","18.2","3.0","3.0",".",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","Course Total","74","2.885","20.3","18.9","17.6","20.3","17.6","2.7","2.7",".",".",".",".",".",".",".",".","."
