"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"Introduction to Art","100
001","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
001","14","3.536","21.4","64.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","17","3.469","17.6","52.9","23.5",".",".",".",".",".",".",".",".",".",".",".",".","5.9"
"","102
003","12","3.000","16.7","41.7","16.7","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","102
004","18","3.556","33.3","50.0","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","005
102","16","3.594","81.3",".","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","006
102","19","3.344","57.9","5.3","5.3",".","5.3","5.3","5.3","15.8",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","96","3.435","39.6","34.4","12.5","3.1","2.1","1.0","3.1","3.1",".",".",".",".",".",".",".","1.0"
"","104
001","12","3.417","25.0","41.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","12","3.167","16.7","41.7","16.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","104
003","13","3.375","38.5","30.8","7.7","7.7",".","7.7",".","7.7",".",".",".",".",".",".",".","."
"","104
004","14","3.393","50.0","28.6","7.1","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","51","3.340","33.3","35.3","13.7","7.8","3.9","2.0","2.0","2.0",".",".",".",".",".",".",".","."
"Foundations of Contemp Art","108
001","133","3.138","13.5","37.6","26.3","12.0","5.3","1.5","1.5","1.5",".",".",".",".",".",".",".","0.8"
"","112
002","12","3.625","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
003","18","3.250","11.1","50.0","22.2","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","112
004","18","3.611","38.9","44.4","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
005","19","3.684","68.4","10.5","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","112
006","20","3.000","10.0","30.0","35.0","20.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","112
007","17","3.219","11.8","35.3","35.3","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","112
008","20","3.275","10.0","40.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","112
009","16","3.000","6.3","31.3","50.0","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","112
010","18","3.781","55.6","27.8","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","5.6"
"Drawing I","Course Total","158","3.371","27.2","35.4","25.9","7.0","1.3",".","1.3","1.3",".",".",".",".",".",".",".","0.6"
"","212
001","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","15","3.633","53.3","33.3",".","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","12","3.458","41.7","25.0","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","212
004","14","3.714","64.3","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing II","Course Total","59","3.669","57.6","27.1","8.5","5.1","1.7",".",".",".",".",".",".",".",".",".",".","."
"","214
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","214
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","12","3.915","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
001","14","3.722","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","16","3.533","31.3","43.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
003","14","3.843","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","44","3.692","47.7","40.9","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
002","12","3.649","58.3","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","224
003","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","31","3.833","77.4","12.9","6.5","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","232
002","13","3.730","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","232
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Life Drawing I","Course Total","16","3.782","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
