"LANGUAGES & CULTURES OF A Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","",""
"236
Bascom Course","001","","17","3.353","47.1","23.5","17.6",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"244
SE Asia:Vietnam to Philipns","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"252
Civs of India-Modern Period","001","","8","3.063","25.0","37.5","25.0",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"266
Intro to the Middle East","001","","91","3.637","53.8","25.3","16.5","3.3","1.1",".",".",".",".",".",".",".",".",".",".","."
"273
Religion-Hist&Culture: East","001","","14","3.357","35.7","28.6","7.1","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"279
Intro to Turkish Folk Lit","001","","18","3.389","22.2","33.3","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","001","","18","3.694","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","42","3.250","21.4","26.2","35.7","14.3","2.4",".",".",".",".",".",".",".",".",".",".","."
"Topics in LCA","Course Total","","60","3.383","31.7","26.7","30.0","10.0","1.7",".",".",".",".",".",".",".",".",".",".","."
"311
Modern Indian Literatures","001","","20","3.750","75.0","20.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"314
Literatures of Central Asia","001","","6","3.700","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"355
Hinduism","001","","57","3.343","12.3","49.1","26.3","5.3","1.8",".",".","1.8",".",".",".",".",".","1.8",".","1.8"
"374
Indian Folklore","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"401
Modern Indonesian Literature","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"600
Capstone Smr-Asian Humanities","001","","12","3.708","66.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"615
Writing Travels","001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"663
S Asia and the Global System","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"666
Proseminar:Literatures of Asia","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","16","",".",".",".",".",".",".",".","81.3",".",".",".","18.8",".",".",".","."
