"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","","64","2.865","15.6","15.6","23.4","20.3","21.9",".","1.6",".",".",".",".",".","1.6",".",".","."
"Fabric & Apparel Structures II","154","001","","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","","16","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Person & Environ Interactions","221","001","","63","2.786","15.9","17.5","28.6","19.0","6.3","7.9","4.8",".",".",".",".",".",".",".",".","."
"Interior Architect Design","223","001","","32","3.677","43.8","43.8","9.4",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228","001","","14","3.885","78.6","7.1","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229","001","","8","3.857","75.0",".","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Patternmaking-Apparel Design","253","001","","13","3.538","30.8","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design: Sketching&Rendering","320","001","","20","3.500","35.0","40.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design II","322","001","","32","3.359","21.9","31.3","43.8","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","323","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Dsgn-Manual/Comptr Gen Imagery","327","001","","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Fashion,1400-Presnt","355","001","","25","3.705","60.0","8.0","16.0","4.0",".",".",".","12.0",".",".",".",".",".",".",".","."
"Am Dec Arts & Int: 1620-1840","363","001","","19","3.053","21.1","10.5","36.8","21.1","10.5",".",".",".",".",".",".",".",".",".",".","."
"European Interiors to 18 C","421","001","","28","3.286","25.0","28.6","28.6","14.3","3.6",".",".",".",".",".",".",".",".",".",".","."
"History of Textiles","430","001","","31","2.950","22.6","16.1","25.8","6.5","19.4","6.5",".","3.2",".",".",".",".",".",".",".","."
"Color Theory and Technology","451","001","","16","3.344","31.3","37.5","18.8","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"Dimensions of Material Culture","464","001","","9","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","002","","12","3.375","25.0","33.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","501","006","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","007","","13","3.615","46.2","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","501","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","020","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","021","","10","3.600","20.0","80.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","022","","13","3.654","46.2","46.2",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","501","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","77","3.687","53.2","36.4","6.5","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"Textile:Spec & End Use Anal","561","001","","20","3.425","25.0","50.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","601","001","","7","3.912","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","","8","3.763","75.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Apparl Desgn:Profesnl Pract","610","001","","31","3.839","83.9","6.5","6.5",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"Interior Design IV","623","001","","17","3.647","35.3","58.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Portfolio Preparation","624","001","","18","3.694","38.9","61.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taste","642","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Comparative World Dress","655","001","","18","3.361","50.0","5.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","691","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","","Page 149 of 410",""
