"LANDSCAPE ARCHITECTURE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","",""
"","201
001","15","3.633","73.3","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","201
002","14","3.679","57.1","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Land Arc Studio","Course Total","29","3.655","65.5","20.7","10.3",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"","250
001","16","3.267","25.0","25.0","31.3",".","12.5",".",".",".",".",".",".",".","6.3",".",".","."
"","250
002","16","3.094","25.0","18.8","18.8","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","250
003","17","3.529","47.1","23.5","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","250
004","16","3.125","6.3","37.5","43.8",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","250
005","21","3.125","28.6","9.5","33.3","4.8","19.0",".",".","4.8",".",".",".",".",".",".",".","."
"","250
006","23","2.833","17.4","13.0","17.4","13.0","8.7","4.3","4.3","17.4",".",".",".",".","4.3",".",".","."
"Survey of Land Arch Design","Course Total","109","3.157","24.8","20.2","27.5","7.3","11.9","0.9","0.9","4.6",".",".",".",".","1.8",".",".","."
"Prin Land Arc Dsgn&Graphics","261
001","22","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Landscape Plants I","263
001","14","3.000","28.6","21.4","14.3","21.4","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"Independent Studies","299
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Landscape Arch Tech II","354
001","20","3.300","25.0","45.0","20.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Planting Design I","365
001","22","3.136","18.2","36.4","27.3","9.1","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","399
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","3","***","","","","","","","","","","","","","","","",""
"Regional Design","462
001","21","3.405","33.3","38.1","14.3","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"Professionl Pract-Land Arch","550
001","22","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Landscape Arch","610
001","23","3.435","34.8","21.7","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Restoration Ecology","666
001","11","2.955",".","45.5","27.3","18.2",".","9.1",".",".",".",".",".",".",".",".",".","."
"Adaptive Restoration Lab","670
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","Course Total","3","***","","","","","","","","","","","","","","","",""
"Theories-Landscape Change","710
001","11","3.545","36.4","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Regional Design Workshop","920
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Seminar","940
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Independent Studies","999
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
