"","999
062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
068","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999
084","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","14","4.000","7.1",".",".",".",".",".",".","85.7",".",".",".","7.1",".",".",".","."
"ENGLISH
350","Dept. Total","5361","3.466","36.9","26.2","15.5","4.6","2.5","0.6","1.0","1.9","0.0","9.6","0.3","0.5","0.0","0.1","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1450","3.490","35.6","27.4","16.5","3.9","1.9","0.5","0.8",".",".","12.8","0.7",".",".",".",".","0.1"
"Sophomore","","1126","3.411","33.1","30.0","18.2","5.8","3.1","0.4","1.2","0.1",".","7.5","0.4",".",".","0.1",".","0.1"
"Junior","","1073","3.420","37.4","29.9","17.8","6.3","3.4","0.7","1.2","0.2",".","3.0","0.1",".",".",".",".","0.1"
"Senior","","1047","3.438","41.6","28.7","17.5","5.2","3.2","1.1","1.4","0.3","0.1","0.3",".",".",".","0.5",".","0.1"
"Undergraduates","","4696","3.442","36.8","28.9","17.4","5.2","2.8","0.6","1.1","0.1","0.0","6.5","0.3",".",".","0.1",".","0.1"
"Special","","109","3.444","23.9","15.6","7.3","1.8","1.8",".","1.8","5.5",".","35.8","0.9",".",".","0.9","3.7","0.9"
"Graduate","","545","3.887","41.1","5.9","1.3","0.4",".",".","0.2","16.9","0.2","28.8",".","5.1","0.2",".",".","."
"Prof Yr 4","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Professionals","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","Dept. Total","5361","3.466","36.9","26.2","15.5","4.6","2.5","0.6","1.0","1.9","0.0","9.6","0.3","0.5","0.0","0.1","0.1","0.1"
