"JEWISH STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","",""
"Introduction to Judaism","211
001","69","3.603","37.7","46.4","11.6","2.9",".",".",".","1.4",".",".",".",".",".",".",".","."
"Intro to Modern Jewish Hist","220
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biblical Lit","227
001","13","3.654","69.2","7.7","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro-Biblical Archaeology","241
001","10","3.167",".","50.0","20.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"The Jews, States, & Citizenshp","258
001","9","3.333","22.2","22.2","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Hebrew Literature","301
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Israeli Fiction-Translation","367
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001","16","3.688","43.8","50.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","11","3.409","45.5","9.1","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","371
003","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Jewish Civilization","Course Total","48","3.760","68.8","18.8","10.4",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"Jewish Philos:Antiquity-17c","435
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Jewish Studies","Course Total","5","***","","","","","","","","","","","","","","","",""
"Holocaust: Hist, Memory & Educ","515
001","15","3.667","66.7","6.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","533
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Holocaust:Facts, Trials","625
001","71","3.560","29.6","49.3","12.7","2.8",".",".",".","4.2",".",".",".",".","1.4",".",".","."
"Israeli Politics and Society","665
001","6","2.667","16.7",".","50.0",".","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"Research Colloquium for Majors","675
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independnt Research for Majors","Course Total","3","***","","","","","","","","","","","","","","","",""
"Directed Study","699
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"JEWISH
510","Dept. Total","279","3.598","45.9","32.3","14.0","2.5","1.4","0.4",".","2.2",".","1.1",".",".","0.4",".",".","."
