"LATIN (CLASSICS)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","",""
"","103
001","20","2.900","30.0","30.0","5.0","10.0","5.0","15.0","5.0",".",".",".",".",".",".",".",".","."
"","103
002","23","3.043","39.1","8.7","17.4","17.4","8.7","4.3","4.3",".",".",".",".",".",".",".",".","."
"","103
003","23","3.357","43.5","8.7","21.7","13.0",".","4.3",".","4.3",".",".",".",".",".","4.3",".","."
"","103
004","20","3.525","45.0","25.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","103
005","21","3.175","28.6","38.1",".","14.3","9.5",".","4.8","4.8",".",".",".",".",".",".",".","."
"","103
006","18","3.118","44.4","5.6","16.7","5.6","16.7",".","5.6",".",".",".",".",".",".",".",".","5.6"
"","103
007","25","3.340","48.0","28.0","12.0",".","4.0",".","8.0",".",".",".",".",".",".",".",".","."
"Elementary Latin","Course Total","150","3.212","40.0","20.7","14.0","8.7","6.7","3.3","4.0","1.3",".",".",".",".",".","0.7",".","0.7"
"","203
001","23","3.568","47.8","30.4","8.7",".","8.7",".",".","4.3",".",".",".",".",".",".",".","."
"","203
002","21","3.595","52.4","33.3",".","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Latin","Course Total","44","3.581","50.0","31.8","4.5","4.5","6.8",".",".","2.3",".",".",".",".",".",".",".","."
"Latin Lit of Roman Republic","301
001","24","3.579","37.5","20.8","16.7","4.2",".",".",".","20.8",".",".",".",".",".",".",".","."
"","539
001","16","3.813","75.0","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","539
002","14","3.962","85.7","7.1",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Latin Historical Writers","Course Total","30","3.879","80.0","13.3",".","3.3",".",".",".","3.3",".",".",".",".",".",".",".","."
"Directed Study","699
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research Thesis","890
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"LATIN
524","Dept. Total","251","3.373","46.6","21.5","10.8","6.8","5.2","2.0","2.4","3.6",".",".",".","0.4",".","0.4",".","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","",""
"Freshmen","","71","3.133","36.6","21.1","12.7","11.3","8.5","5.6","2.8",".",".",".",".",".",".",".",".","1.4"
"Sophomore","","44","3.374","43.2","25.0","15.9","6.8","2.3",".","4.5","2.3",".",".",".",".",".",".",".","."
"Junior","","50","3.466","48.0","30.0","8.0","8.0","2.0","2.0","2.0",".",".",".",".",".",".",".",".","."
"Senior","","49","3.414","51.0","18.4","10.2","4.1","10.2",".","2.0","4.1",".",".",".",".",".",".",".","."
"Undergraduates","","214","3.321","43.9","23.4","11.7","7.9","6.1","2.3","2.8","1.4",".",".",".",".",".",".",".","0.5"
"Special","","6","3.571","33.3","16.7","16.7",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Graduate","","31","3.900","67.7","9.7","3.2",".",".",".",".","12.9",".",".",".","3.2",".","3.2",".","."
"","Dept. Total","251","3.373","46.6","21.5","10.8","6.8","5.2","2.0","2.4","3.6",".",".",".","0.4",".","0.4",".","0.4"
