"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","7","3.938","85.7","14.3",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","11","3.957","90.9","9.1",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","27","3.868","88.9","3.7","7.4",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","70","3.268","17.1","24.3","54.3","4.3","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","15","3.800","86.7","6.7",".","6.7","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","85","3.335","29.4","21.2","44.7","4.7","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
