"ATMOSPHERIC & OCEANIC SCIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"100","001","","190","2.795","4.2","9.5","63.2","8.4","6.8","5.3","2.6",".",".",".",".",".",".",".",".","."
"100","002","","214","2.881","13.1","14.0","41.1","8.9","18.7","3.7","0.5",".",".",".",".",".",".",".",".","."
"Weather and Climate","Course Total","","404","2.840","8.9","11.9","51.5","8.7","13.1","4.5","1.5",".",".",".",".",".",".",".",".","."
"101
Weather and Climate","001","","110","2.927","10.0","11.8","54.5","11.8","7.3","3.6","0.9",".",".",".",".",".",".",".",".","."
"105
Survey of Oceanography","001","","48","2.745","14.6","20.8","25.0","4.2","22.9","6.3","4.2",".",".",".",".",".",".",".",".","2.1"
"121
Atmspherc Envirnmnt&Society","001","","99","3.207","22.2","30.3","25.3","13.1","8.1","1.0",".",".",".",".",".",".",".",".",".","."
"171
Global Chg: Atmospheric Iss","001","","16","3.688","56.3","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"310
Dynamics-Atmosphere&Ocean I","001","","21","2.425","4.8","4.8","38.1","19.0","14.3","4.8","9.5","4.8",".",".",".",".",".",".",".","."
"330
Physics-Atmosphere&Ocean I","001","","17","2.765","17.6","23.5","17.6","11.8","17.6","5.9","5.9",".",".",".",".",".",".",".",".","."
"331
Climatic Environments-Past","001","","8","3.250","12.5","37.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"332
The Global Warming Debate","001","","9","3.278","33.3","11.1","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"425
Global Climate Processes","001","","18","3.000","27.8","27.8","5.6","16.7","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"452
Syn Lab I:Frontal Cyclone","001","","21","3.125","33.3","4.8","28.6","9.5","19.0",".",".",".",".",".",".",".",".","4.8",".","."
"610
Geophys Fluid Dynamics I","001","","12","3.458","41.7","16.7","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"630
Intro to Atm & Ocn Physics","001","","13","3.000","38.5","7.7","7.7","23.1","7.7",".","7.7","7.7",".",".",".",".",".",".",".","."
"650
Analysis of Atmospheric Sys","001","","14","3.154","21.4","14.3","42.9",".","14.3",".",".",".",".",".",".",".","7.1",".",".","."
"691","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"692
Senior Thesis","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"698","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"745
Meterologicl Satellite Appl","001","","18","3.340","33.3","22.2","38.9",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"900
Seminar-Meteorology","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Limnology & Marine Sci Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","52","",".",".",".",".",".",".",".","98.1",".",".",".","1.9",".",".",".","."
