"","990
021","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
024","4","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","54","",".",".",".",".",".",".","",".","92.6","",".",".",".","7.4",".",".",".","."
"M M & I
620","Dept. Total","588","3.648","59.7","10.5","13.6","2.9","2.9","0.7","",".","8.8","",".",".",".","0.7","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","11","3.800","72.7","18.2","9.1",".",".",".","",".",".","",".",".",".",".",".",".",".","."
"Junior","","121","3.676","67.8","11.6","14.9","1.7","3.3","0.8","",".",".","",".",".",".",".",".",".",".","."
"Senior","","299","3.584","57.9","13.4","19.4","4.0","3.7","1.0","",".","0.3","",".",".",".",".","0.3",".",".","."
"Undergraduates","","431","3.616","61.0","13.0","17.9","3.2","3.5","0.9","",".","0.2","",".",".",".",".","0.2",".",".","."
"Special","","8","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".",".",".",".",".","."
"Graduate","","137","3.808","52.6","4.4","1.5","2.2","1.5",".","",".","36.5","",".",".",".","1.5",".",".",".","."
"Prof Yr 1","","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 3","","7","4.000","57.1",".",".",".",".",".","",".","14.3","",".",".",".","28.6",".",".",".","."
"Prof Yr 4","","2","3.400","50.0",".","50.0",".",".",".","",".",".","",".",".",".",".",".",".",".","."
"Professionals","","12","3.864","66.7",".","8.3",".",".",".","",".","8.3","",".",".",".","16.7",".",".",".","."
"","Dept. Total","588","3.648","59.7","10.5","13.6","2.9","2.9","0.7","",".","8.8","",".",".",".","0.7","0.2",".",".","."
