"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","103","2.456","17.5","7.8","21.4","11.7","22.3","10.7","8.7",".",".",".",".",".",".",".",".","."
"","101
002","126","2.560","18.3","5.6","27.0","11.1","19.0","12.7","4.8",".","0.8",".",".",".",".",".",".","0.8"
"Animal Biology","Course Total","229","2.513","17.9","6.6","24.5","11.4","20.5","11.8","6.6",".","0.4",".",".",".",".",".",".","0.4"
"","102
001","6","3.333","50.0",".","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
005","6","3.250","33.3","16.7","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","6","2.917","16.7","16.7","50.0",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"","102
007","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
009","7","3.000","14.3","57.1","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","102
010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
011","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
012","9","3.667","66.7","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
014","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","7","3.214","14.3","14.3","71.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
017","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
018","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
019","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
021","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","110","3.423","40.0","24.5","25.5","7.3",".","1.8","0.9",".",".",".",".",".",".",".",".","."
"General Botany","130
001","32","2.563","18.8","12.5","21.9","6.3","18.8","18.8","3.1",".",".",".",".",".",".",".",".","."
"","151
001","170","2.944","18.8","11.2","43.5","8.2","13.5","1.8","2.9",".",".",".",".",".",".",".",".","."
"","151
002","156","3.022","17.3","15.4","42.9","10.9","10.9","1.3","1.3",".",".",".",".",".",".",".",".","."
"","151
003","96","2.729","20.8","8.3","32.3","10.4","17.7","2.1","8.3",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","422","2.924","18.7","12.1","40.8","9.7","13.5","1.7","3.6",".",".",".",".",".",".",".",".","."
"Introductory Biology","152
001","183","3.253","32.8","14.2","36.6","5.5","9.3","0.5","0.5",".",".",".",".",".","0.5",".",".","."
"","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies","Course Total","4","***","","","","","","","","","","","","","","","",""
"","375
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
004","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
005","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
006","18","3.353","33.3","33.3","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","375
007","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
008","83","3.777","78.3","6.0","10.8","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"","375
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","182","3.816","81.9","7.7","7.1","1.1","2.2",".",".",".",".",".",".",".",".",".",".","."
"","675
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","Page 170 of 410",""
