"","999
189","1","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
204","1","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
222","2","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Adv Ind Work-Applied Music","Course Total","30","4.000","96.7",".",".","",".","",".","",".",".",".","",".",".","",".","3.3","",".",".",".","."
"MUS PERF
664","Dept. Total","512","3.891","82.8","12.5","3.9","",".","",".","",".","0.4","0.2","",".",".","",".","0.2","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","64","3.740","65.6","25.0","7.8","",".","",".","",".","1.6",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","71","3.888","81.7","12.7","4.2","",".","",".","",".",".","1.4","",".",".","",".",".","",".",".",".","."
"Junior","","90","3.849","84.4","8.9","5.6","",".","",".","",".","1.1",".","",".",".","",".",".","",".",".",".","."
"Senior","","163","3.892","80.4","16.0","3.7","",".","",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","388","3.858","79.1","15.2","4.9","",".","",".","",".","0.5","0.3","",".",".","",".",".","",".",".",".","."
"Special","","5","4.000","100.0",".",".","",".","",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","119","3.964","94.1","4.2","0.8","",".","",".","",".",".",".","",".",".","",".","0.8","",".",".",".","."
"","Dept. Total","512","3.891","82.8","12.5","3.9","",".","",".","",".","0.4","0.2","",".",".","",".","0.2","",".",".",".","."
