"","999
057","10","4.000","90.0",".",".",".",".","",".",".",".",".",".",".","",".","10.0",".",".","."
"","999
058","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
061","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","23","3.942","78.3",".","4.3",".",".","",".",".",".",".",".","",".",".","17.4",".",".","."
"ELPA
305","Dept. Total","522","3.874","61.5","10.3","2.5","0.4","0.2","",".","0.2","18.2","0.4",".","",".","1.9","3.8","0.6",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","0.000",".",".",".",".",".","",".","100.0",".",".",".","",".",".",".",".",".","."
"Junior","","4","3.750","50.0","50.0",".",".",".","",".",".",".",".",".","",".",".",".",".",".","."
"Senior","","9","3.500","11.1","11.1","11.1",".",".","",".",".","55.6",".",".","",".",".",".","11.1",".","."
"Undergraduates","","14","3.188","21.4","21.4","7.1",".",".","",".","7.1","35.7",".",".","",".",".",".","7.1",".","."
"Special","","31","3.828","64.5","19.4","6.5",".",".","",".",".","6.5",".",".","",".",".","3.2",".",".","."
"Graduate","","477","3.901","60.8","9.0","1.9","0.4",".","",".",".","18.4","0.4","2.5","",".","2.1","4.0","0.4",".","."
"Prof Yr 2","","5","3.800","80.0",".","20.0",".",".","",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","7","3.571","57.1","28.6",".",".","14.3","",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","12","3.667","66.7","16.7","8.3",".","8.3","",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","534","3.874","60.1","10.1","2.4","0.4","0.2","",".","0.2","17.8","0.4","2.2","",".","1.9","3.7","0.6",".","."
