"THEATRE AND DRAMA","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","","",""
"","366","001","","7","2.714","28.6","28.6",".",".","28.6",".","14.3",".",".",".",".",".",".",".",".","."
"","366","002","","9","3.446","44.4","33.3",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","","Course Total","","16","3.133","37.5","31.3",".","6.3","18.8",".","6.3",".",".",".",".",".",".",".",".","."
"","368","001","","22","3.636","45.5","40.9","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","368","002","","20","3.700","80.0","10.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Fundamentals of Directing","","Course Total","","42","3.667","61.9","26.2","7.1","2.4",".",".","2.4",".",".",".",".",".",".",".",".","."
"Drafting for the Theatre","370","001","","13","3.400","30.8","38.5","7.7","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"Sound for Theatre","371","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Set Design I","372","001","","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Stage Management","379","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Fem Theatre&Critcsm","415","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre for Young Audiences","426","001","","14","3.772","85.7","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"History of Theatres&Staging","431","001","","10","3.833","70.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"Thtr-Yng Audiences:Productn","462","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting Design II","466","001","","6","3.158","83.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey: Theories of Drama","520","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Postcolonial Theatre","523","001","","21","3.714","57.1","33.3","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Scene Study","550","001","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory III","561","001","","21","3.690","76.2","14.3",".","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","619","001","","7","3.083","42.9","14.3","14.3",".",".",".","14.3","14.3",".",".",".",".",".",".",".","."
"","619","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","619","003","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","","Course Total","","16","3.300","37.5","31.3","12.5",".","6.3",".","6.3","6.3",".",".",".",".",".",".",".","."
"Adv Study-Theatre Dsgn&Tech","670","001","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","698","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","9","3.840","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem: Intro Rsch-Theatre","700","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Voice Training","740","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Stage Movement","742","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Acting","750","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
