"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"138
001","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"138
002","13","3.385","38.5","46.2","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"138
004","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"138
005","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"138
006","12","3.583","83.3",".",".",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Course Total
CRC 1st Yr Smr: Lib Arts Educ","52","3.635","67.3","15.4","11.5",".","1.9","1.9","1.9",".",".",".",".",".",".",".",".","."
"153
001
Ways of Knowing in Sciences","35","3.147","25.7","20.0","25.7","14.3","8.6","2.9",".",".",".",".",".",".",".",".",".","2.9"
"157
001","16","",".",".",".",".",".",".",".",".",".","93.8",".",".",".",".",".","6.3"
"157
002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
003","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
004","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
006","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
007","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
008","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
009","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"157
010","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
011","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
012","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
013","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"014
157","12","",".",".",".",".",".",".",".",".",".","91.7",".",".",".",".",".","8.3"
"157
015","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
016","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
017","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Bradley Roundtable Seminar","216","",".",".",".",".",".",".",".",".",".","98.6","0.5",".",".",".",".","0.9"
"198
002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"198
004","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
005","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"198
008","25","",".",".",".",".",".",".",".",".",".","88.0","12.0",".",".",".",".","."
"198
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"198
010","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
011","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
090","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Directed Study","122","",".",".",".",".",".",".",".",".",".","97.5","2.5",".",".",".",".","."
"199
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"199
052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"199
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Directed Study","3","***","","","","","","","","","","","","","","","",""
"200
001
Critical Thinkng & Expressn","59","3.551","50.8","28.8","15.3",".","1.7","1.7","1.7",".",".",".",".",".",".",".",".","."
"201
001
W Culture:Sci,Tech,Philos I","202","3.218","12.9","37.1","38.1","7.4","3.5","0.5","0.5",".",".",".",".",".",".",".",".","."
"202
001
W Culture:Sci,Tech,Phil II","59","3.314","11.9","45.8","35.6","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"203
001
West Culture:Lit&The Arts I","156","3.692","62.2","20.5","12.8","3.8",".","0.6",".",".",".",".",".",".",".",".",".","."
"205
001
W Cult:Pol,Econ&Soc Thght I","121","3.157","16.5","27.3","37.2","10.7","7.4","0.8",".",".",".",".",".",".",".",".",".","."
