"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"833
Topics in Probability","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"840
Statistcl Model Buildng&Learng","001","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"849
Thry&Appl-Regress&AnalVar I","001","","37","3.392","29.7","29.7","35.1",".","5.4",".",".",".",".",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","118","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","120","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","130","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","134","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","146","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","165","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","195","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","250","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","255","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","256","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","262","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","37","",".",".",".",".",".",".",".","94.6",".",".",".","5.4",".",".",".","."
"998
Statistical Consulting","001","","15","3.433","26.7","40.0","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
