"","999
059","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
060","3","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
063","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
074","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","39","3.934","71.8","7.7","2.6",".",".",".",".","12.8",".",".","",".","2.6",".",".","2.6","."
"HISTORY
448","Dept. Total","3896","3.308","26.8","29.6","24.6","6.8","3.4","0.7","1.1","5.3","0.0","0.8","",".","0.4","0.3","0.2","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","421","3.212","20.9","32.3","31.6","6.7","5.7","1.2","1.7",".",".",".","",".",".",".",".",".","."
"Sophomore","","611","3.302","24.4","36.3","25.2","8.2","3.6","0.8","1.0","0.2",".",".","",".",".","0.3",".",".","."
"Junior","","1032","3.260","23.2","33.1","28.9","8.3","3.8","0.5","1.4","0.5",".",".","",".",".","0.4",".",".","."
"Senior","","1374","3.314","29.8","29.4","25.7","7.0","3.2","1.0","1.2","2.3","0.1",".","",".","0.1",".","0.1","0.1","."
"Undergraduates","","3438","3.282","25.7","32.1","27.3","7.6","3.8","0.8","1.3","1.1","0.0",".","",".","0.0","0.2","0.1","0.1","."
"Special","","116","3.375","10.3","9.5","6.9","1.7","1.7",".",".","63.8",".","1.7","",".",".",".","3.4","0.9","."
"Graduate","","340","3.839","43.2","11.2","3.5","0.3",".",".",".","27.9",".","8.2","",".","4.1","1.2","0.3",".","."
"Prof Yr 2","","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","3896","3.308","26.8","29.6","24.6","6.8","3.4","0.7","1.1","5.3","0.0","0.8","",".","0.4","0.3","0.2","0.1","."
