"URBAN AND REGIONAL PLANNI","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","",""
"Introduction to the City","305","001","","34","3.591","47.1","26.5","17.6","5.9",".",".",".","2.9",".",".",".",".",".",".",".","."
"The Real Estate Process","306","001","","9","3.000","11.1","33.3","11.1","11.1","22.2",".",".","11.1",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","590","001","","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590","002","","6","3.333","83.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","590","003","","13","3.500","23.1","53.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Topics-Urb & Reg Pl","","Course Total","","32","3.500","40.6","37.5","18.8",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"Community Development","617","001","","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban Economics","720","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","721","001","","12","3.542","25.0","58.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","721","002","","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Planning Analysis","","Course Total","","23","3.587","30.4","56.5","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Regional Planning","731","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Regional Econ Prob Analysis","734","001","","13","3.308","15.4","30.8","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Planning","741","001","","22","3.659","50.0","36.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Energy Analysis & Policy","809","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Land Use Policy & Planning","843","001","","19","3.447","21.1","47.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics - Public Finance","845","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Planning Workshop","912","001","","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Political Sociology","924","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr:Trends&Iss-Public Plan","969","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","","Course Total","","3","***","","","","","","","","","","","","","","","",""
