"","999
061","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
077","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
082","3","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Advanced Independent Study","Course Total","10","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"PHM SCI
718","Dept. Total","1561","3.234","28.3","19.9","30.2","10.1","6.4","0.5","0.1","4.4","",".",".","",".","0.1","0.1",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","","102","3.433","39.2","27.5","23.5","3.9","4.9","1.0",".",".","",".",".","",".",".",".",".",".","."
"Senior","","123","3.382","37.4","26.8","22.0","4.9","4.9","1.6","0.8","1.6","",".",".","",".",".",".",".",".","."
"Undergraduates","","228","3.407","38.6","26.8","22.8","4.4","4.8","1.3","0.4","0.9","",".",".","",".",".",".",".",".","."
"Special","","8","3.500","37.5","25.0","37.5",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","152","3.928","60.5","3.9","1.3",".",".",".",".","33.6","",".",".","",".","0.7",".",".",".","."
"Prof Yr 1","","272","3.054","16.2","21.3","35.7","12.9","13.6","0.4",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","535","3.156","22.4","16.4","37.9","12.9","9.0","0.7",".","0.2","",".",".","",".",".","0.2",".","0.2","."
"Prof Yr 3","","365","3.335","25.8","25.8","31.5","12.1","1.1",".",".","3.8","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","1173","3.161","22.0","20.5","35.4","12.6","7.6","0.4",".","1.3","",".",".","",".",".","0.1",".","0.1","."
"","Dept. Total","1561","3.234","28.3","19.9","30.2","10.1","6.4","0.5","0.1","4.4","",".",".","",".","0.1","0.1",".","0.1","."
