"","699
004","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
010","5","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
064","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Study","Course Total","7","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"INTER-HE
498","Dept. Total","329","3.787","77.2","10.9","6.4","2.1","2.1","0.9","",".","",".","",".",".","",".","",".","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","6","3.250","50.0","16.7","16.7",".",".","16.7","",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","55","3.896","89.1","3.6","5.5",".","1.8",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","120","3.842","82.5","10.0","3.3","1.7","2.5",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","142","3.720","68.3","14.8","9.2","3.5","2.1","1.4","",".","",".","",".",".","",".","",".","0.7",".",".","."
"Undergraduates","","323","3.783","76.8","11.1","6.5","2.2","2.2","0.9","",".","",".","",".",".","",".","",".","0.3",".",".","."
"Special","","3","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","3","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","329","3.787","77.2","10.9","6.4","2.1","2.1","0.9","",".","",".","",".",".","",".","",".","0.3",".",".","."
