"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"940","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"940","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Law & Contemporary Problems","Course Total","","135","1.456","17.0",".","8.1",".","3.7",".",".","25.2",".",".",".",".","0.7",".",".","5.2"
"950","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"950","002","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"950","003","","8","0.875","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lawyering Skills Course","Course Total","","29","0.875","3.4",".","3.4",".",".",".",".","72.4",".",".",".",".",".",".",".","."
"953","001","","13","1.538","15.4",".","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"953","002","","11","1.545","18.2",".","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems:Bus Org-Seminar","Course Total","","24","1.542","16.7",".","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"957
Intro to Estate Planning","001","","6","0.400",".",".",".",".","16.7",".",".","16.7",".",".",".",".",".",".",".","."
"980
African Law","001","","9","1.857","11.1","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"981
Law & Modernization-Smr","001","","9","1.750","22.2",".","22.2",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"988
Select Probs-Envrnmtl Law","001","","8","1.375","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"989
Environmental Law and Practice","001","","11","1.455","18.2",".","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","052","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","16.7"
"990","095","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","097","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","099","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Research","Course Total","","66","",".",".",".",".",".",".",".","95.5",".",".",".",".","3.0",".",".","1.5"
"991","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 332 of 410",""
