"","JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201","001","357","3.323","19.3","33.1","44.3","1.1","1.1","0.6","0.3",".",".",".",".",".",".","0.3",".","."
"Mass Communication Practices","202","001","104","3.231","14.4","25.0","53.8","5.8","1.0",".",".",".",".",".",".",".",".",".",".","."
"","335","001","14","3.500","21.4","64.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","335","002","14","3.643","50.0","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","335","003","10","3.150","10.0","30.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","335","004","14","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","","Course Total","52","3.510","32.7","44.2","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","345","001","33","3.818","69.7","24.2","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345","002","30","3.967","96.7",".","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345","004","33","3.758","60.6","30.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","","Course Total","96","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401","001","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Nonfiction","405","001","12","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Science & Envir Journalism","415","001","16","3.438","37.5","18.8","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Magazines&Magazine Editing","417","001","20","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web & Broadcast","419","001","18","3.639","66.7","27.8",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Develop Creatv Messages-Media","445","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Media Planning","447","001","16","3.594","25.0","68.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Stratgy-Strategc Campaign","449","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","559","001","72","2.859","19.4","20.8","23.6","12.5","9.7","9.7","2.8","1.4",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","63","2.992","22.2","23.8","25.4","12.7","7.9","3.2","4.8",".",".",".",".",".",".",".",".","."
"Mass Communication&Society","561","001","84","3.361","33.3","28.6","21.4","7.1","8.3",".",".","1.2",".",".",".",".",".",".",".","."
"Mass Media and Youth","616","001","26","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617","001","8","3.688","75.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"International Communication","620","001","21","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Com-Developing Nations","621","001","22","3.432","27.3","45.5","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and the Consumer","646","001","113","3.383","31.0","29.2","31.9","1.8","2.7","0.9","0.9","1.8",".",".",".",".",".",".",".","."
"Mass Media and Minorities","662","001","23","3.848","73.9","21.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Responsiblty in Mass Comm","666","001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","048","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","697","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","036","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","051","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 239 of 410",""
