"AGRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","",""
"100
Prin & Prac-Crop Production","001","","47","3.266","29.8","14.9","38.3","12.8","4.3",".",".",".",".",".",".",".",".",".",".","."
"299","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"302
Forage Mgmt & Utilization","001","","13","3.385","38.5","15.4","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"328
Integrated Weed Management","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"339
Plant Biotech:Prin&Technique I","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"370
Grassland Ecology","001","","21","3.738","81.0","14.3",".",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"379
Teaching Methods:Agri-sci Educ","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"632
Ecotox: The Chemical Players","001","","6","3.000","16.7","33.3","16.7",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"633
Ecotox: Impacts on Individuals","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"634
Ecotox: Populatn, Comm, Ecosys","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","3.647","85.7",".",".",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"799
Practicum-Agronomy Teaching","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"811
Biometric Proc-Plnt Breedng","001","","13","3.385","38.5","15.4","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","004","","23","3.783","65.2","30.4",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","25","3.789","64.0","28.0",".","4.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","18","",".",".",".",".",".",".",".","77.8",".",".",".","16.7",".",".","5.6","."
