"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","151","3.449","55.0","11.3","21.2","2.6","4.0","0.7","3.3","2.0",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","38","3.569","63.2","13.2","7.9",".","7.9",".","2.6","5.3",".",".",".",".",".",".",".","."
"Opera","105
001","68","3.722","70.6","2.9","13.2","4.4",".","1.5",".","7.4",".",".",".",".",".",".",".","."
"","111
001","24","3.500","50.0","16.7","20.8","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","111
002","23","3.283","13.0","56.5","21.7",".","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"Elements of Music","Course Total","47","3.394","31.9","36.2","21.3","4.3","4.3","2.1",".",".",".",".",".",".",".",".",".","."
"","113
001","544","3.946","93.8","3.5","1.8",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"","113
002","72","",".",".",".",".",".",".",".","98.6",".",".",".",".",".",".","1.4","."
"Music in Performance","Course Total","616","3.946","82.8","3.1","1.6",".","0.8",".",".","11.5",".",".",".",".",".",".","0.2","."
"","121
001","19","3.237","15.8","31.6","42.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","121
002","27","3.130","18.5","14.8","48.1","11.1","7.4",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 1","Course Total","46","3.174","17.4","21.7","45.7","8.7","6.5",".",".",".",".",".",".",".",".",".",".","."
"","151
001","36","3.588","55.6","25.0","5.6","2.8",".","5.6",".","2.8","2.8",".",".",".",".",".",".","."
"","151
002","26","3.462","46.2","30.8","15.4",".","3.8",".","3.8",".",".",".",".",".",".",".",".","."
"","151
003","8","2.125","12.5",".","25.0",".","37.5","12.5","12.5",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","70","3.368","47.1","24.3","11.4","1.4","5.7","4.3","2.9","1.4","1.4",".",".",".",".",".",".","."
"","171
101","9","3.278","22.2","44.4","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","171
102","10","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
103","9","3.389","22.2","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","171
104","10","3.350","30.0","30.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","171
105","8","3.250","12.5","25.0","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 1","Course Total","46","3.359","21.7","41.3","26.1","8.7","2.2",".",".",".",".",".",".",".",".",".",".","."
"The Big Bands","205
001","311","3.445","33.8","28.9","19.9","7.7","2.9",".",".","6.8",".",".",".",".",".",".",".","."
"Survey-Hist Western Music","211
001","47","3.277","29.8","21.3","36.2",".","12.8",".",".",".",".",".",".",".",".",".",".","."
"","221
001","27","3.333","22.2","29.6","40.7","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"","221
002","28","3.554","25.0","60.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 3","Course Total","55","3.445","23.6","45.5","27.3","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","253
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","253
002","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","6","3.875","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","34","3.956","94.1","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","48","3.958","93.8","4.2","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music Ensemble","266
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
