"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"","723
020","14","2.000","7.1",".","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
021","14","1.429","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
022","12","1.500","8.3",".","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Legal Research and Writing","Course Total","275","1.398","5.1",".","38.9",".","1.1",".",".",".",".",".",".",".",".",".",".","0.4"
"","726
001","99","1.112","5.1",".","29.3",".","1.0",".",".",".",".",".",".",".",".",".",".","1.0"
"","726
002","90","0.922","8.9",".","14.4",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","726
003","21","0.905","9.5",".","14.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","726
004","23","0.913",".",".","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","726
005","24","1.167","4.2",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","726
006","23","0.652",".",".","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Substan Criminal Law","Course Total","280","0.986","5.7",".","23.2",".","2.9",".",".",".",".",".",".",".",".",".",".","0.4"
"Federal Law & Indian Tribes","730
001","13","1.700","15.4",".","23.1",".",".",".",".","23.1",".",".",".",".",".",".",".","."
"Real Estate Transactions I","732
001","53","1.646","18.9",".","20.8",".","5.7",".",".","9.4",".",".",".",".",".",".",".","."
"Trusts and Estates","733
001","117","1.351","20.5",".","6.8",".","3.4","2.6","0.9","17.1",".",".",".",".",".",".",".","."
"Secured Transactions","736
001","28","1.286","21.4",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Religion and the Constitution","739
001","10","1.000","10.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
001","79","0.868","6.3",".","17.7",".","2.5",".",".","3.8",".",".",".",".",".",".",".","."
"","002
740","19","0.579","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
003","56","1.000","7.1",".","17.9",".","5.4","1.8","1.8","5.4",".",".",".",".",".",".",".","."
"Constitutional Law II","Course Total","154","0.878","7.1",".","16.2",".","3.2","0.6","0.6","3.9",".",".",".",".",".",".",".","."
"Taxation I","742
001","188","1.568","8.0","1.1","18.6",".",".","1.1",".","40.4",".",".",".",".",".",".",".","0.5"
"","743
001","20","1.316","20.0",".","15.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","743
002","12","1.583","16.7",".","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","743
003","12","1.083","8.3",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","44","1.327","15.9",".","20.5",".","2.3",".",".","2.3",".",".",".",".",".",".",".","."
"Administrative Law","744
001","58","1.227","8.6","1.7","24.1",".","1.7",".",".","5.2",".",".",".",".",".",".",".","."
"Labor Relations Law","745
001","41","1.256","4.9",".","31.7",".","2.4",".",".","4.9",".",".",".",".",".",".",".","."
"Antitrust","748
001","17","1.250","17.6",".","11.8",".","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"Intro-Intellectual Proprty Law","753
001","37","1.167","16.2",".","16.2",".",".",".",".","2.7",".",".",".",".",".",".",".","."
"Role of Police in Free Soc","760
001","14","1.357","7.1",".","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","771
001","7","0.000",".",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","771
002","13","1.364","15.4",".","15.4",".",".","7.7",".","15.4",".",".",".",".",".",".",".","."
"","771
003","7","1.000","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Estate Planning","Course Total","27","0.815","11.1",".","11.1",".",".","3.7",".","11.1",".",".",".",".",".",".",".","."
"","801
001","101","0.989","1.0",".","26.7",".","1.0",".",".","11.9",".",".",".",".",".",".",".","1.0"
"","801
002","71","1.650","15.5",".","22.5",".","4.2","1.4",".","15.5",".",".",".",".",".",".",".","."
"Evidence","Course Total","172","1.257","7.0",".","25.0",".","2.3","0.6",".","13.4",".",".",".",".",".",".",".","0.6"
"","802
001","15","1.133","6.7",".","26.7",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","802
002","43","0.951","7.0",".","20.9",".",".",".",".","4.7",".",".",".",".",".",".",".","."
"Civil Procedure II","Course Total","58","1.000","6.9",".","22.4",".",".","1.7",".","3.4",".",".",".",".",".",".",".","."
"","808
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","808
002","11","1.091",".",".","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
003","7","0.789",".",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
