"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Pre-calc&Calc-Mid Schl Teachrs","136
001","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","141
001","51","2.863","13.7","15.7","25.5","31.4","9.8","2.0","2.0",".",".",".",".",".",".",".",".","."
"","141
002","70","2.957","5.7","31.4","25.7","25.7","10.0","1.4",".",".",".",".",".",".",".",".",".","."
"Quant Reasoning&Prob Solvng","Course Total","121","2.917","9.1","24.8","25.6","28.1","9.9","1.7","0.8",".",".",".",".",".",".",".",".","."
"","171
001","249","2.655","20.5","12.4","23.7","9.2","20.5","4.8","8.8",".",".",".",".",".",".",".",".","."
"","171
002","181","2.591","13.8","13.3","27.6","9.9","18.8","12.2","4.4",".",".",".",".",".",".",".",".","."
"Calc with Algebra & Trig I","Course Total","430","2.628","17.7","12.8","25.3","9.5","19.8","7.9","7.0",".",".",".",".",".",".",".",".","."
"Topics-Finite Mathematics","210
001","148","2.493","19.6","7.4","25.0","3.4","26.4","8.8","9.5",".",".",".",".",".",".",".",".","."
"","211
001","225","3.218","36.4","24.0","19.1","4.4","9.3","4.9","1.8",".",".",".",".",".",".",".",".","."
"","211
002","182","2.777","24.7","13.2","24.2","9.3","14.3","8.2","6.0",".",".",".",".",".",".",".",".","."
"Calculus","Course Total","407","3.021","31.2","19.2","21.4","6.6","11.5","6.4","3.7",".",".",".",".",".",".",".",".","."
"Calc/Intro-Differntl Equats","213
001","135","2.955","31.1","8.1","28.1","5.2","18.5","5.9","2.2","0.7",".",".",".",".",".",".",".","."
"","221
001","232","2.881","31.9","9.5","21.1","9.1","17.7","6.0","4.7",".",".",".",".",".",".",".",".","."
"","221
002","190","2.745","21.1","7.4","31.6","7.9","21.6","6.8","3.7",".",".",".",".",".",".",".",".","."
"","221
003","193","2.650","21.2","6.2","28.0","4.7","27.5","7.8","4.7",".",".",".",".",".",".",".",".","."
"","004
221","185","2.589","25.9","5.9","19.5","20.0","10.3","5.4","13.0",".",".",".",".",".",".",".",".","."
"","221
005","185","2.609","20.0","5.4","24.9","4.3","34.1","7.0","3.8",".",".",".",".",".",".",".",".","0.5"
"","221
006","191","3.089","13.6","23.6","35.6","21.5","4.7","0.5",".",".",".",".",".",".",".",".",".","0.5"
"Calculus&Analytic Geometry","Course Total","1176","2.766","22.6","9.7","26.6","11.1","19.2","5.6","4.9",".",".",".",".",".",".",".",".","0.2"
"","222
001","211","2.793","28.9","12.3","19.0","7.6","16.6","7.6","6.6","0.5","0.5",".",".",".",".","0.5",".","."
"","222
002","172","2.480","12.8","11.6","21.5","14.5","25.0","5.2","9.3",".",".",".",".",".",".",".",".","."
"","222
003","180","2.733","31.7","11.7","8.9","13.9","16.1","12.2","5.6",".",".",".",".",".",".",".",".","."
"","222
004","147","2.711","23.1","7.5","28.6","10.9","15.6","8.2","6.1",".",".",".",".",".",".",".",".","."
"Calculus&Analytic Geometry","Course Total","710","2.685","24.5","11.0","19.0","11.5","18.3","8.3","6.9","0.1","0.1",".",".",".",".","0.1",".","."
"","234
001","196","2.977","30.6","11.7","27.0","8.2","13.8","5.1","3.6",".",".",".",".",".",".",".",".","."
"","234
002","191","3.228","38.2","20.4","14.7","12.6","10.5","2.1","1.6",".",".",".",".",".",".",".",".","."
"","234
003","184","3.399","48.4","18.5","15.8","6.0","9.2","1.1","1.1",".",".",".",".",".",".",".",".","."
"","234
004","170","2.509","24.7","7.1","20.6","4.7","19.4","13.5","9.4",".","0.6",".",".",".",".",".",".","."
"Calc--Functns of Variables","Course Total","741","3.040","35.6","14.6","19.6","8.0","13.1","5.3","3.8",".","0.1",".",".",".",".",".",".","."
"Intro to Discrete Mathematics","240
001","47","3.000","17.0","27.7","31.9","6.4","8.5","6.4","2.1",".",".",".",".",".",".",".",".","."
