"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","214","3.030","17.3","13.6","45.8","12.1","8.9","0.9","1.4",".",".",".",".",".",".",".",".","."
"","300
002","160","2.899","13.8","9.4","45.6","16.9","9.4","2.5","1.9","0.6",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","374","2.975","15.8","11.8","45.7","14.2","9.1","1.6","1.6","0.3",".",".",".",".",".",".",".","."
"","305
001","54","3.279","48.1","1.9","22.2","3.7","20.4",".",".","1.9",".",".",".",".",".","1.9",".","."
"","002
305","55","3.136","27.3","7.3","41.8","12.7","10.9",".",".",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","109","3.206","37.6","4.6","32.1","8.3","15.6",".",".","0.9",".",".",".",".",".","0.9",".","."
"","320
001","53","3.292","18.9","32.1","39.6","7.5","1.9",".",".",".",".",".",".",".",".",".",".","."
"","320
002","59","3.241","18.6","28.8","37.3","8.5","5.1",".",".",".",".",".",".",".","1.7",".",".","."
"","320
003","55","3.264","30.9","10.9","40.0","7.3","7.3",".",".","1.8",".",".",".",".",".","1.8",".","."
"Investment Theory","Course Total","167","3.265","22.8","24.0","38.9","7.8","4.8",".",".","0.6",".",".",".",".","0.6","0.6",".","."
"","325
001","20","3.125","15.0","25.0","45.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","325
002","45","3.367","15.6","53.3","22.2","6.7","2.2",".",".",".",".",".",".",".",".",".",".","."
"","325
003","44","3.352","27.3","43.2","15.9","9.1","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","109","3.317","20.2","44.0","23.9","8.3","1.8","0.9","0.9",".",".",".",".",".",".",".",".","."
"","330
001","21","3.024","19.0","23.8","19.0","19.0","19.0",".",".",".",".",".",".",".",".",".",".","."
"","330
002","51","3.208","21.6","23.5","25.5","19.6","3.9",".",".","3.9",".",".",".",".",".","2.0",".","."
"","330
003","49","3.286","26.5","28.6","32.7","8.2","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","121","3.208","23.1","25.6","27.3","14.9","5.8",".","0.8","1.7",".",".",".",".",".","0.8",".","."
"","365
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
150","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","2","***","","","","","","","","","","","","","","","",""
"Bank Management","410
001","91","3.385","29.7","27.5","35.2","5.5","2.2",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","19","3.222","15.8","31.6","31.6","10.5","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"","700
001","58","3.440","22.4","44.8","31.0","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","58","3.569","34.5","44.8","20.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","59","3.475","37.3","32.2","20.3","8.5","1.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","175","3.494","31.4","40.6","24.0","3.4","0.6",".",".",".",".",".",".",".",".",".",".","."
"","745
001","20","3.400","35.0","30.0","25.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","745
030","55","3.491","23.6","50.9","25.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","Course Total","75","3.467","26.7","45.3","25.3",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"Market for Corporate Contrl","750
001","30","3.583","40.0","36.7","23.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","757
001","36","3.833","69.4","27.8","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","29","3.931","89.7","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","799
059","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Derivative Securities","830
001","6","3.400","33.3",".","50.0",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","835
001","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance I","850
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
