"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001","14","3.786","78.6",".","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
003","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
004","18","3.750","72.2","16.7","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","170
006","17","3.688","58.8","11.8","23.5",".",".",".",".",".",".",".",".",".",".",".",".","5.9"
"","007
170","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","95","3.766","68.4","16.8","12.6",".","1.1",".",".",".",".",".",".",".",".",".",".","1.1"
"Electrodynamics I","220
001","66","3.280","39.4","28.8","15.2",".","10.6","3.0","3.0",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","87","2.966","17.2","19.5","21.8","24.1","16.1","1.1",".",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","31","3.317","38.7","9.7","32.3","6.5","9.7",".",".",".",".",".",".",".","3.2",".",".","."
"","252
001","41","3.013","22.0","17.1","14.6","29.3","14.6",".",".",".",".",".",".",".",".",".",".","2.4"
"","252
002","50","2.600","14.0","10.0","18.0","22.0","28.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"","252
003","36","3.375","44.4","16.7","19.4","8.3","11.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","127","2.952","25.2","14.2","17.3","20.5","18.9","1.6","1.6",".",".",".",".",".",".",".",".","0.8"
"","270
002","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","270
004","18","3.611","66.7","22.2","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","270
005","15","3.400","53.3","20.0","13.3","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","50","3.600","64.0","22.0","6.0","2.0","2.0",".","4.0",".",".",".",".",".",".",".",".","."
"","271
002","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
005","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","42","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trans Lines & Netwks Lab","301
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","305
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","313
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","7","3.400","14.3","28.6","28.6",".",".",".",".","14.3",".",".",".",".",".","14.3",".","."
"Intro Microprocessor Lab","Course Total","14","3.667","42.9","28.6","14.3",".",".",".",".","7.1",".",".",".",".",".","7.1",".","."
"Electrodynamics II","320
001","40","3.013","32.5","7.5","35.0","10.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"Transmission Lines-Digitl Appl","321
001","28","3.429","35.7","25.0","28.6","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","68","2.828","27.9","8.8","20.6","4.4","29.4","4.4","2.9","1.5",".",".",".",".",".",".",".","."
"Intro-Random Sig Anal&Stats","331
001","30","2.638","13.3","10.0","20.0","20.0","23.3","10.0",".",".",".",".",".",".",".",".",".","3.3"
"Feedback Control Systems","332
001","23","2.795","21.7","13.0","17.4","17.4","17.4","4.3","4.3",".",".",".",".",".",".","4.3",".","."
"Microelectronic Devices","335
001","32","3.016","25.0","15.6","15.6","25.0","18.8",".",".",".",".",".",".",".",".",".",".","."
