"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","206","3.282","28.2","32.5","19.9","9.2","6.3",".","1.9","1.9",".",".",".",".",".",".",".","."
"Intro-E Asian History:Japan","104","001","62","2.967","12.9","19.4","45.2","9.7","4.8","3.2","3.2","1.6",".",".",".",".",".",".",".","."
"Modern Europe 1500-1815","119","001","71","3.421","14.1","52.1","18.3","2.8","1.4",".",".","11.3",".",".",".",".",".",".",".","."
"Europe&Mod World 1815-On","120","001","68","3.024","8.8","26.5","38.2","10.3","4.4","2.9","1.5","5.9",".",".",".",".","1.5",".",".","."
"English History to 1688","123","001","123","3.337","22.8","39.8","26.8","3.3","4.1","0.8","0.8","1.6",".",".",".",".",".",".",".","."
"History-S Asia to Present","142","001","70","3.443","25.7","50.0","14.3","7.1","2.9",".",".",".",".",".",".",".",".",".",".","."
"Amer Histories: 19th Century","150","001","175","3.124","19.4","24.0","34.3","10.9","8.0","1.1","1.1","0.6",".",".",".",".","0.6",".",".","."
"Asian Am Hist:Movmnt&Dislocatn","160","001","25","3.717","44.0","44.0","4.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"","200","001","18","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200","002","43","3.430","25.6","46.5","23.3","2.3",".","2.3",".",".",".",".",".",".",".",".",".","."
"","200","003","19","2.789","26.3","5.3","36.8","5.3","10.5","10.5","5.3",".",".",".",".",".",".",".",".","."
"Historical Studies","","Course Total","80","3.356","32.5","36.3","21.3","2.5","2.5","3.8","1.3",".",".",".",".",".",".",".",".","."
"Intro to Modern Jewish Hist","220","001","12","3.591","33.3","41.7","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","223","001","66","3.346","42.4","28.8","15.2","3.0","3.0",".","6.1","1.5",".",".",".",".",".",".",".","."
"","223","002","43","2.881","2.3","34.9","30.2","16.3","9.3",".","4.7","2.3",".",".",".",".",".",".",".","."
"Exploration-European Hist (H)","","Course Total","109","3.164","26.6","31.2","21.1","8.3","5.5",".","5.5","1.8",".",".",".",".",".",".",".","."
"Exploration-3rd World Hist (H)","225","001","47","3.674","55.3","19.1","10.6","6.4",".",".",".","6.4",".",".",".",".","2.1",".",".","."
"Latin America: 1780 to 1940","241","001","130","3.287","22.3","31.5","33.1","7.7","1.5",".","1.5","2.3",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","38","3.237","28.9","39.5","15.8","7.9",".","2.6","5.3",".",".",".",".",".",".",".",".","."
"American Business History","247","001","72","3.268","18.1","34.7","33.3","5.6","2.8",".","1.4","4.2",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","59","3.112","10.2","33.9","33.9","15.3","3.4",".","1.7",".",".",".",".",".",".","1.7",".","."
"Topics in LGBT History","275","001","65","3.769","76.9","10.8","9.2","1.5",".",".","1.5",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","48","3.211","27.1","31.3","20.8","4.2","4.2","2.1","4.2","6.3",".",".",".",".",".",".",".","."
"Hist Am Thought 1859-Pres","302","001","62","3.292","16.1","38.7","30.6","8.1","3.2",".",".",".",".",".",".",".",".","3.2",".","."
"The Medieval Church","312","001","33","3.055","15.2","18.2","39.4","15.2","3.0",".","3.0","6.1",".",".",".",".",".",".",".","."
"The Vietnam Wars","319","001","116","3.329","22.4","32.8","30.2","11.2",".",".","0.9","2.6",".",".",".",".",".",".",".","."
"Cap, Soc, Democ-Am 1890 on","327","001","8","3.250","37.5","12.5","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"The Renaissance","333","001","74","3.193","14.9","32.4","33.8","9.5","2.7","2.7",".","4.1",".",".",".",".",".",".",".","."
"Colonial British North Amer","343","001","28","2.938","3.6","28.6","32.1","10.7","7.1",".","3.6","14.3",".",".",".",".",".",".",".","."
"American Rev 1763-1789","344","001","141","3.146","10.6","29.8","44.7","9.2","4.3",".","0.7","0.7",".",".",".",".",".",".",".","."
"Contemp France 1914-Present","349","001","72","3.319","27.8","29.2","29.2","2.8","5.6","2.8",".","1.4",".",".",".",".","1.4",".",".","."
"Seventeenth-Century Europe","351","001","64","3.226","12.5","34.4","39.1","7.8","4.7",".",".","1.6",".",".",".",".",".",".",".","."
"French Revolution 1685-1799","358","001","69","2.827","8.7","15.9","36.2","18.8","11.6",".","4.3","4.3",".",".",".",".",".",".",".","."
"Bible in the Middle Ages","368","001","24","3.435","16.7","58.3","12.5","8.3",".",".",".","4.2",".",".",".",".",".",".",".","."
"Hist of Africa, 1500-1870","377","001","70","3.058","8.6","35.7","35.7","5.7","8.6",".","2.9","2.9",".",".",".",".",".",".",".","."
"Hist of Africa Since 1870","378","001","72","3.188","12.5","36.1","30.6","9.7","5.6","1.4",".","1.4",".",".",".",".",".","2.8",".","."
"Women in History","392","001","41","3.414","17.1","39.0","26.8","2.4",".",".",".","12.2",".",".",".",".",".","2.4",".","."
"Military Hist-United States","396","001","49","3.199","18.4","30.6","30.6","8.2",".",".","4.1","8.2",".",".",".",".",".",".",".","."
"Immigratn&Assimlatn-Am Hist","403","001","71","3.399","23.9","42.3","22.5","5.6","2.8",".",".","2.8",".",".",".",".",".",".",".","."
"Am Labor Hist: 1900-Present","408","001","40","3.720","75.0","15.0","2.5","2.5","2.5",".","2.5",".",".",".",".",".",".",".",".","."
"History-American Education","412","001","69","3.390","36.2","30.4","21.7","5.8","1.4",".","2.9","1.4",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 224 of 410",""
