"","990
054","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
059","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Dissertator Research&Thesis","Course Total","21","",".",".",".",".",".",".",".","71.4","",".",".",".","28.6","",".",".",".","."
"Advanced Independent Study","999
013","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"M E
612","Dept. Total","2559","3.148","28.1","19.8","23.1","10.7","7.5","2.1","1.2","5.4","",".","0.0",".","2.0","",".",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","7","3.583","71.4","14.3",".","14.3",".",".",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","196","3.110","27.0","23.0","25.5","10.7","10.2","2.6","1.0",".","",".",".",".",".","",".",".",".","."
"Junior","","629","2.938","20.8","20.3","27.7","13.7","11.4","3.5","2.1",".","",".",".",".",".","",".",".",".","0.5"
"Senior","","1153","3.117","25.9","22.7","26.5","13.0","8.1","2.3","1.3","0.1","",".",".",".",".","",".",".",".","."
"Undergraduates","","1985","3.066","24.6","22.0","26.7","13.0","9.3","2.7","1.5","0.1","",".",".",".",".","",".",".",".","0.2"
"Special","","30","3.340","40.0","10.0","26.7",".","13.3",".",".","10.0","",".",".",".",".","",".",".",".","."
"Graduate","","544","3.623","40.3","12.3","9.9","2.8","0.6",".",".","24.6","",".","0.2",".","9.4","",".",".",".","."
"","Dept. Total","2559","3.148","28.1","19.8","23.1","10.7","7.5","2.1","1.2","5.4","",".","0.0",".","2.0","",".",".",".","0.1"
