"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","311
013","21","3.500","47.6","28.6","14.3","4.8",".","4.8",".",".",".",".",".",".",".",".",".","."
"","311
014","17","3.412","41.2","5.9","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","247","3.531","42.9","28.3","23.1","0.8","2.0","1.2",".","1.6",".",".",".",".",".",".",".","."
"","319
001","23","3.696","56.5","34.8","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","319
002","25","3.460","40.0","20.0","32.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Span Lang Pract","Course Total","48","3.573","47.9","27.1","18.8","4.2","2.1",".",".",".",".",".",".",".",".",".",".","."
"","320
001","24","3.625","62.5","16.7","8.3","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","320
002","25","3.360","40.0","24.0","20.0",".","16.0",".",".",".",".",".",".",".",".",".",".","."
"","320
003","27","3.852","74.1","22.2","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
004","27","3.759","77.8","11.1","3.7",".","7.4",".",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","103","3.655","64.1","18.4","8.7","1.9","6.8",".",".",".",".",".",".",".",".",".",".","."
"","322
001","24","3.500","45.8","16.7","29.2","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","22","3.452","40.9","22.7","18.2","9.1","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"","322
003","21","2.881","14.3","19.0","33.3","23.8",".","4.8","4.8",".",".",".",".",".",".",".",".","."
"Survey of Early Hispanic Lit","Course Total","67","3.288","34.3","19.4","26.9","13.4","1.5","1.5","1.5","1.5",".",".",".",".",".",".",".","."
"Adv Lang Prac-Expos Writing","323
001","22","3.455","36.4","27.3","31.8",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Spanish Lit","324
001","23","3.196","43.5","13.0","26.1",".","8.7","4.3","4.3",".",".",".",".",".",".",".",".","."
"","325
001","26","3.731","69.2","7.7","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","24","3.333","25.0","25.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","003
325","24","3.729","62.5","25.0","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Conversation","Course Total","74","3.601","52.7","18.9","24.3","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"","326
001","23","3.522","43.5","34.8","8.7","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","326
002","21","3.262","52.4","9.5","4.8","14.3","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"","326
003","18","3.000","33.3","5.6","11.1","27.8","22.2",".",".",".",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","Course Total","62","3.282","43.5","17.7","8.1","16.1","12.9","1.6",".",".",".",".",".",".",".",".",".","."
"","327
001","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","327
002","23","3.152","39.1","21.7","26.1",".",".","4.3","8.7",".",".",".",".",".",".",".",".","."
"","327
003","24","3.458","41.7","20.8","29.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","327
004","15","3.367","40.0","20.0","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Spanish Linguistics","Course Total","83","3.482","54.2","15.7","20.5","3.6","2.4","1.2","2.4",".",".",".",".",".",".",".",".","."
"","361
001","26","3.553","53.8","30.8","3.8","7.7",".","3.8",".",".",".",".",".",".",".",".",".","."
"","361
002","26","3.919","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Civilization","Course Total","52","3.730","69.2","23.1","1.9","3.8",".","1.9",".",".",".",".",".",".",".",".",".","."
"Lit de la Edad Med Castellana","414
001","9","3.741","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cervantes","435
001","22","3.528","63.6","27.3",".",".",".","4.5","4.5",".",".",".",".",".",".",".",".","."
"Literatura Hispanoamericana","460
001","29","3.870","75.9","20.7","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Am Theater & Drama","462
001","21","3.642","52.4","23.8","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","468
001","17","3.292","35.3","11.8","35.3","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","468
002","21","3.568","52.4","38.1",".",".",".",".","4.8",".",".",".",".",".","4.8",".",".","."
"Topics in Hispanic Culture","Course Total","38","3.445","44.7","26.3","15.8","2.6","5.3",".","2.6",".",".",".",".",".","2.6",".",".","."
"Topics in Hispanic Literature","471
001","19","3.632","47.4","31.6","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Surv-Span Am Lit:Disc-Modrn","501
001","17","3.441","29.4","29.4","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Teaching of Spanish","545
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
