"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"123
Plants, Parasites, & People","001","","87","2.925","9.2","26.4","32.2","20.7","6.9","1.1","3.4",".",".",".",".",".",".",".",".","."
"130
General Botany","001","","153","2.707","19.6","6.5","34.0","5.9","21.6","7.8","3.9","0.7",".",".",".",".",".",".",".","."
"151","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"151","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"151","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","8","2.875","12.5",".","62.5",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"160
Heredity","001","","12","2.917","33.3",".","33.3",".","25.0","8.3",".",".",".",".",".",".",".",".",".","."
"240
Plants and Man","001","","126","3.063","27.0","5.6","44.4","5.6","15.9",".","1.6",".",".",".",".",".",".",".",".","."
"260
Introductory Ecology","001","","88","2.965","23.9","14.8","23.9","12.5","18.2","3.4","1.1","2.3",".",".",".",".",".",".",".","."
"300
Plant Anatomy","001","","30","2.950","26.7","16.7","23.3","13.3","10.0","6.7","3.3",".",".",".",".",".",".",".",".","."
"330
Algae","001","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"339
Plant Biotech:Prin&Technique I","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"370
Grassland Ecology","001","","24","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"400
Plant Systematics","001","","57","3.330","40.4","17.5","22.8","8.8","7.0",".","1.8","1.8",".",".",".",".",".",".",".","."
"402
Dendrology","001","","12","3.208","50.0",".","8.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".","."
"403
Field Collectns&Identifictn","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"455
The Vegetation of Wisconsin","001","","25","3.396","32.0","20.0","40.0",".","4.0",".",".",".",".",".",".",".","4.0",".",".","."
"460
General Ecology","001","","34","3.176","29.4","5.9","44.1","11.8","8.8",".",".",".",".",".",".",".",".",".",".","."
"466
General Genetics","001","","23","2.543","13.0",".","17.4","21.7","47.8",".",".",".",".",".",".",".",".",".",".","."
"575","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"575","003","","8","3.571","62.5",".","12.5",".","12.5",".",".","12.5",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","10","3.640","70.0",".","10.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"629
Evolutionary Genetics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"670
Adaptive Restoration Lab","002","","9","3.444","77.8",".","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"691","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"692","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 173 of 410",""
