"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
048","10","3.250","30.0","10.0","50.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","100
051","10","3.500","30.0","50.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
052","9","3.222","22.2","44.4",".","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","100
056","12","3.250","25.0","25.0","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
057","9","3.444","11.1","66.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
058","10","3.150","20.0","10.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
059","13","3.308","7.7","53.8","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
060","9","3.444","22.2","55.6","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
061","11","3.455","18.2","54.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
062","13","3.308","7.7","53.8","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
063","13","3.346","15.4","46.2","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
064","10","2.850","10.0","10.0","40.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","100
065","13","3.231","7.7","46.2","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","686","3.229","15.3","39.7","28.9","11.4","3.8","0.3","0.7",".",".",".",".",".",".",".",".","."
"","105
001","15","3.533","40.0","26.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","17","3.406","35.3","41.2","11.8",".",".",".","5.9",".",".",".",".",".",".","5.9",".","."
"","105
003","14","3.536","21.4","64.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
004","11","3.455","18.2","54.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
005","17","3.471","17.6","58.8","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
006","14","3.214",".","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","88","3.437","22.7","48.9","25.0","1.1",".",".","1.1",".",".",".",".",".",".","1.1",".","."
"Elements of Speech-Honors","181
001","11","3.545","45.5","36.4",".","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","250
001","239","3.227","9.2","43.5","35.6","7.5","3.3",".","0.4","0.4",".",".",".",".",".",".",".","."
"Communication & Human Behav","260
001","238","3.267","19.7","42.0","25.6","6.3","3.8","0.4","2.1",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","262
001","106","3.642","50.9","34.0","12.3","1.9",".",".","0.9",".",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266
001","93","3.360","28.0","33.3","28.0","4.3","6.5",".",".",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272
001","98","3.418","38.8","28.6","18.4","10.2","3.1",".","1.0",".",".",".",".",".",".",".",".","."
"Directed Study","299
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Media & Human Behavior","325
001","114","3.036","12.3","21.1","37.7","17.5","7.0","1.8",".","2.6",".",".",".",".",".",".",".","."
"Introduction to Film","350
001","174","3.104","14.4","32.8","29.9","13.2","6.3","1.1","1.7","0.6",".",".",".",".",".",".",".","."
"Introduction to Television","351
001","167","3.349","22.8","37.7","30.5","4.2","3.6","0.6",".",".",".",".",".",".",".","0.6",".","."
"History of World Cinema","352
001","90","3.218","11.1","34.4","38.9","10.0","2.2",".",".","3.3",".",".",".",".",".",".",".","."
"Intro to Media Production","355
001","133","3.640","53.4","27.8","12.8","4.5",".","0.8",".","0.8",".",".",".",".",".",".",".","."
"History of Documentary Film","358
001","37","3.122","35.1","8.1","29.7","10.8","13.5",".","2.7",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361
001","86","3.564","43.0","31.4","20.9","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368
001","123","3.260","23.6","36.6","20.3","10.6","7.3","1.6",".",".",".",".",".",".",".",".",".","."
"Great Speakers and Speeches","370
001","185","3.246","18.4","30.8","35.1","10.3","4.3",".",".","1.1",".",".",".",".",".",".",".","."
"Television Criticism","451
001","43","3.419","23.3","48.8","16.3","11.6",".",".",".",".",".",".",".",".",".",".",".","."
"Russian and Soviet Film","456
001","21","3.238","23.8","28.6","28.6","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"Italian Film","460
001","38","3.789","76.3","21.1",".",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"American Independent Cinema","462
001","18","3.389","16.7","44.4","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing for TV & Film","466
001","12","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","467
001","12","3.417","25.0","41.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","Page 184 of 410",""
