"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Construction Systems","290","002","","15","3.800","80.0","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","61","2.811","11.5","14.8","32.8","23.0","11.5","4.9","1.6",".",".",".",".",".",".",".",".","."
"Independent Study","299","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","63","2.556","4.8","9.5","25.4","25.4","28.6","6.3",".",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","71","2.789","12.7","21.1","19.7","18.3","22.5","4.2","1.4",".",".",".",".",".",".",".",".","."
"Hydrology","315","001","","17","3.206","23.5","35.3","11.8","17.6","11.8",".",".",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","97","2.907","21.6","8.2","36.1","4.1","27.8","1.0","1.0",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","61","2.877","8.2","11.5","45.9","23.0","8.2","3.3",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","68","2.963","20.6","19.1","23.5","17.6","14.7","2.9","1.5",".",".",".",".",".",".",".",".","."
"Intro to Geographc Info Sys","357","001","","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","49","3.082","26.5","20.4","30.6","4.1","14.3",".","4.1",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Open Channel Hydraulics","411","001","","6","3.167",".","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elements-Public Health Engr","422","001","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmentl Engineerng Lab","424","001","","8","3.571","37.5","25.0","25.0",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Dsgn-Wastewtr Treatmnt Plnt","426","001","","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solid&Hazardous Wastes Engr","427","001","","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Analysis II","440","001","","28","3.161","25.0","17.9","39.3","7.1","7.1","3.6",".",".",".",".",".",".",".",".",".","."
"Wood Structures I","442","001","","30","3.100","6.7","30.0","46.7","10.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Steel Structures I","445","001","","41","3.138","24.4","24.4","29.3","2.4","14.6",".","2.4","2.4",".",".",".",".",".",".",".","."
"Honors in Research","489","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Legal Aspects-Engineering","491","001","","39","3.590","38.5","43.6","15.4","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Mech Systems for Construction","497","001","","22","3.227","13.6","27.3","50.0","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","","51","3.843","76.5","15.7","7.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Chemistry","500","001","","39","3.756","59.0","33.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Analysis-Intermediate","501","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Anal Intermediate Lab","503","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Coastal Engineering","514","001","","20","3.729","50.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seepage and Slopes","530","001","","10","3.400","40.0","20.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Urban Transport Planning","571","001","","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Traffic Control","574","001","","22","3.205","13.6","36.4","31.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"Adv Highway Matl&Constructn","575","001","","17","3.633","41.2","29.4","17.6",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","","45","3.989","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629","001","","9","3.952","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Envir Engr","","Course Total","","10","3.896","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Highway Bridges","641","001","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specl Topic-Structural Engr","649","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
