"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","224
001","86","2.942","10.5","16.3","45.3","18.6","5.8","1.2","2.3",".",".",".",".",".",".",".",".","."
"","002
224","64","3.195","42.2","15.6","23.4","1.6","10.9",".","6.3",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","150","3.050","24.0","16.0","36.0","11.3","8.0","0.7","4.0",".",".",".",".",".",".",".",".","."
"","301
001","132","3.280","43.9","11.4","26.5","2.3","12.9","1.5","1.5",".",".",".",".",".",".",".",".","."
"","002
301","81","3.219","48.1","7.4","13.6","11.1","14.8","1.2","2.5",".",".",".",".",".",".",".",".","1.2"
"","301
003","136","3.140","24.3","31.6","19.1","8.1","12.5","3.7","0.7",".",".",".",".",".",".",".",".","."
"","301
004","126","3.352","35.7","27.0","18.3","7.9","4.8","3.2",".",".",".",".",".",".","0.8",".","1.6","0.8"
"","301
005","132","3.480","41.7","27.3","18.2","3.8","5.3","0.8",".","0.8",".",".",".",".",".",".","1.5","0.8"
"","301
007","137","2.850","21.9","17.5","27.0","9.5","10.9","9.5","3.6",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","744","3.214","34.9","21.2","21.0","6.9","9.9","3.5","1.3","0.1",".",".",".",".","0.1",".","0.5","0.4"
"Intro to Math Statistics","309
001","59","3.212","27.1","27.1","27.1","11.9","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","311
001","94","3.250","26.6","27.7","25.5","8.5","7.4","2.1",".",".","2.1",".",".",".",".",".",".","."
"Intro to Mathematical Stat","312
001","61","2.680","23.0",".","31.1","14.8","14.8","16.4",".",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","324
001","91","3.049","14.3","25.3","34.1","17.6","6.6",".","2.2",".",".",".",".",".",".",".",".","."
"","371
001","141","3.564","53.2","16.3","24.1","4.3","1.4","0.7",".",".",".",".",".",".",".",".",".","."
"","371
002","141","3.461","45.4","12.1","34.8","6.4","0.7","0.7",".",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","282","3.512","49.3","14.2","29.4","5.3","1.1","0.7",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","36","3.514","33.3","36.1","30.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","431
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","6","3.200","16.7","33.3","16.7",".","16.7",".",".","16.7",".",".",".",".",".",".",".","."
"Appl Multivariate Analysis","456
001","22","3.477","45.5","18.2","27.3","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biostatistics","541
001","28","3.857","89.3",".","7.1",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","571
001","42","3.476","35.7","28.6","33.3",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"","571
002","55","3.500","34.5","29.1","34.5",".",".",".",".","1.8",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","97","3.490","35.1","28.9","34.0",".","1.0",".",".","1.0",".",".",".",".",".",".",".","."
"Mathematical Statistics I","609
001","21","3.619","47.6","33.3","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Mthds for Clin Trials","641
001","9","3.813","66.7","11.1","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","699
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
095","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
112","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
146","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
256","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
262","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","9","3.714","66.7",".",".","11.1",".",".",".","22.2",".",".",".",".",".",".",".","."
"Mathematical Statistics","709
001","21","3.526","33.3","28.6","28.6",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"Nonlinear Optimization I","726
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Bayesian Decisn&Cntrl","775
001","22","3.625","50.0","27.3","4.5","4.5","4.5",".",".","4.5",".",".",".",".",".","4.5",".","."
"Experimental Design I","803
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sample Survey Theory&Method","811
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Probability","831
001","17","3.735","70.6","5.9","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","Page 312 of 410",""
