"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"The Information Society","201
001","","134","3.625","61.2","20.9","8.2","3.7","2.2","0.7","1.5","0.7",".",".",".",".",".","0.7",".","."
"","450
001","","41","3.695","41.5","56.1","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
002","","42","3.833","71.4","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Agencies & Their Envir","Course Total","","83","3.765","56.6","39.8","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundatns of Reference Service","451
001","","38","3.855","76.3","18.4","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization of Information","551
001","","40","3.775","55.0","45.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Books&Print Culture","570
001","","21","3.810","61.9","38.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Resrch Mthds & Matls","619
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622
001","","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622
002","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Childrens Literature","Course Total","","27","3.704","51.9","37.0","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reference & Info Service","Course Total","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
002","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Literacy Pedagogy","Course Total","","21","3.810","66.7","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Library&Informatn St","640
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","644
001","","39","3.962","94.9","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
001","","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
002","","15","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cataloging & Classification","Course Total","","34","3.765","52.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","654
001","","23","3.848","69.6","30.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collection Management","655
001","","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
001","","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
002","","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Public Library","Course Total","","30","3.683","46.7","43.3","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Archives Adm","734
001","","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","751
001","","16","3.844","81.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","751
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Database Dsgn-Lib&Info Agency","Course Total","","21","3.738","66.7","19.0","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Info Agency Management","754
001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lib Serv-Chldrn&Young Adult","772
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Archive Accessioning&Appraisal","818
001","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Use and Users","822
001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Project-Lib&Info Literacy","826
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Info Procsng&Retrvl","875
001","","21","3.850","71.4","19.0","4.8",".",".",".",".",".",".",".",".",".",".","4.8",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 249 of 410",""
