"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","325","3.432","37.8","29.5","21.2","5.8","3.1","0.9","0.9","0.6",".",".",".",".",".",".",".","."
"Voice Training","140
001","15","3.233","46.7","20.0","13.3",".","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"","150
001","13","3.769","76.9","15.4",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","150
002","16","3.531","43.8","43.8",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","003
150","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","16","3.594","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
007","14","3.714","78.6",".","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","150
008","15","3.267","46.7","6.7","26.7","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","150
009","17","3.676","70.6","5.9","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","150
010","17","3.735","64.7","17.6","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","141","3.670","63.1","19.9","11.3","0.7","4.3","0.7",".",".",".",".",".",".",".",".",".","."
"Intro to Stage Production","160
001","20","3.375","20.0","45.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","161
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","5","***","","","","","","","","","","","","","","","",""
"","162
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre Production Laboratory","Course Total","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History-Theatrical Production","224
001","37","3.176","18.9","37.8","13.5","18.9","10.8",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","250
001","19","3.737","63.2","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Costumes Technol","263
001","7","2.771","28.6","14.3","14.3","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"African Dance Performance","277
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","299
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History: Stage Costume","327
001","21","3.263","28.6","33.3","14.3","4.8","4.8",".","4.8","4.8",".",".",".",".",".","4.8",".","."
"In Trans:Drama-A Strindberg","336
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Acting Realism","350
001","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","351
001","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Javanese Performance","353
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","357
001","17","3.813","70.6","11.8","11.8",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","357
002","20","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
003","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","Course Total","54","3.887","83.3","7.4","7.4",".",".",".",".","1.9",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","6","3.083","50.0","16.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","362
002","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama in Education","Course Total","48","3.854","87.5","8.3","2.1",".",".",".","2.1",".",".",".",".",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","363
001","16","3.575","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
