"INTERDIS COURSES (SOHE)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","",""
"Independent Study","299
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Iss & Serv Learng","350
001","21","3.738","66.7","19.0","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","29","3.810","82.8","3.4","10.3",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","375
002","32","3.922","93.8","3.1",".",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","61","3.869","88.5","3.3","4.9",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Prgm Planning-Fam&Consmr Ed","428
001","22","3.045","18.2","27.3","27.3","9.1","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"Stdt Teach-Fam & Consumer Educ","430
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
001","16","3.719","50.0","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
002","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
003","122","3.939","95.9","1.6",".","0.8","0.8","0.8",".",".",".",".",".",".",".",".",".","."
"","501
004","16","3.625","75.0","6.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"","501
005","19","3.395","31.6","36.8","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","501
008","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
064","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","196","3.818","80.1","11.7","4.1","2.0","1.0","1.0",".",".",".",".",".",".",".",".",".","."
"Parent Educ & Support Programs","650
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Org&Oper-Educ for Work Progrms","661
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
