"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"101
Livestock Production","001","","31","3.145","19.4","16.1","54.8","6.5",".",".","3.2",".",".",".",".",".",".",".",".","."
"272
Pre-Capstone Seminar","001","","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5.6"
"299","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","024","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","039","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"305
Lactation","001","","42","3.134","26.2","14.3","28.6","16.7","11.9",".",".","2.4",".",".",".",".",".",".",".","."
"375
Special Topics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","6","3.962","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","17","3.988","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"414
Ruminant Nutrition","001","","21","3.190","28.6","23.8","14.3","23.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","23","3.065","17.4","21.7","30.4","17.4","13.0",".",".",".",".",".",".",".",".",".",".","."
"690
Proseminar","001","","22","3.591","45.5","31.8","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","6","3.900","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Dairy Science Tchng","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875","010","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","011","","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","30","3.718","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"951
Seminar in Animal Breeding","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","","Page 17 of 410"
