"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"682","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"690
Thesis Colloquium","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","6","3.625","33.3","16.7","16.7",".",".",".",".",".",".",".",".","16.7",".",".","16.7","."
"692","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","13","3.768","76.9","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"701
History in Global Perspective","001","","30","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"720
Topics-Medieval History","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Prosem-S E Asian History","001","","10","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"801
Seminar-Ancient History","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"804
Interdis W Europ Studies Sm","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"829
Resrch Smr-Latin Amer Hist","001","","9","3.800","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"849
Smr-Hist Imp Russia, 1649-1917","001","","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"861
Seminar-History of Africa","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"891","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"891","002","","8","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Prosem-Mod European History","Course Total","","19","3.860","63.2","10.5","5.3",".",".",".",".","21.1",".",".",".",".",".",".",".","."
"900
Intro-Hist for U.S. Historians","001","","14","3.885","71.4","21.4",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"906
Prosem-History of Education","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"910","001","","13","3.542","15.4","69.2","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"910","002","","11","3.500","18.2","54.5","18.2",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"History of Colonial N America","Course Total","","24","3.523","16.7","62.5","12.5",".",".",".",".",".",".",".",".",".","8.3",".",".","."
