"","999
013","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
026","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
028","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Independent Research","Course Total","3","***","","","","","","","","","","","","","","","","","","","",""
"L SC COM
120","Dept. Total","447","3.720","63.1","19.0","11.4","1.8","0.9","",".","0.2","3.1","",".","0.2","",".","0.2","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","92","3.614","55.4","21.7","16.3","3.3","3.3","",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","42","3.819","69.0","26.2","4.8",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","79","3.649","57.0","21.5","19.0","1.3","1.3","",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","164","3.774","71.3","15.2","11.6","1.8",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","377","3.713","64.2","19.4","13.5","1.9","1.1","",".",".",".","",".",".","",".",".","",".",".",".","."
"Special","","4","2.667","50.0",".",".",".",".","",".","25.0","25.0","",".",".","",".",".","",".",".",".","."
"Graduate","","66","3.840","57.6","18.2",".","1.5",".","",".",".","19.7","",".","1.5","",".","1.5","",".",".",".","."
"","Dept. Total","447","3.720","63.1","19.0","11.4","1.8","0.9","",".","0.2","3.1","",".","0.2","",".","0.2","",".",".",".","."
