"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"Institutionalized Persons","862
001","","30","",".",".",".",".",".",".",".","76.7",".",".",".",".",".",".",".","23.3"
"Litigation in Criminl Cases","863
001","","30","1.140","6.7",".","26.7",".",".","3.3",".","3.3",".",".",".",".",".",".",".","."
"International Trade Law","871
001","","32","1.903","12.5","6.3","37.5",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"Client Counselling","880
001","","15","1.933","20.0",".","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Wisconsin Internl Law Journ","895
001","","64","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Wisconsin Journal of Law","896
001","","29","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law Review","899
001","","86","",".",".",".",".",".",".",".","98.8",".",".",".",".",".",".",".","1.2"
"","904
001","","15","0.800","13.3",".",".",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"","904
002","","20","0.875","5.0",".","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","904
003","","14","1.143","7.1",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","904
004","","14","1.429","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law Seminar","Course Total","","63","1.040","9.5",".","17.5","1.6","4.8",".",".",".",".",".",".",".",".",".",".","."
"Law, Sci & Biotechnolgy Smr","906
001","","15","1.000","6.7",".","20.0",".",".",".",".","6.7",".",".",".",".","6.7",".",".","."
"","907
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","907
002","","14","1.583","7.1",".","35.7",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Probs-Pro Responsblty Smr","Course Total","","17","1.583","5.9",".","29.4",".",".",".",".","17.6",".",".",".",".",".",".",".","11.8"
"Securities Regulation","914
001","","19","1.500","21.1",".","15.8",".","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"","915
001","","12","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","25.0"
"","915
002","","6","2.200","33.3",".","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","915
003","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Probs-Criminal Justice Adm","Course Total","","26","2.200","7.7",".","3.8",".",".",".",".","65.4",".",".",".",".","3.8",".",".","11.5"
"","918
001","","11","1.909","27.3",".","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","918
002","","28","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","918
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems: Intl Law Seminar","Course Total","","40","2.029","10.0",".","7.5",".",".",".",".","70.0",".",".",".",".",".",".",".","."
"The Holocaust:Facts, Trials","919
001","","10","0.600",".",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Probs-Jurisprudence Seminar","922
001","","9","1.889","22.2",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Law & Admin Seminar","935
001","","22","1.381","13.6",".","22.7",".","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"Problems in Family Law-Smr","939
001","","13","0.857",".",".","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
003","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","005
940","","19","1.632","31.6",".","5.3",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","940
006","","15","1.769","20.0",".","20.0",".","6.7",".",".","13.3",".",".",".",".",".",".",".","."
"","940
007","","20","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","25.0"
"","940
008","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","940
009","","9","0.875","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","11.1"
"","940
010","","14","0.692",".",".","21.4",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","940
011","","6","0.667","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
013","","7","0.571","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","015
940","","11","1.364","18.2",".","9.1",".","18.2",".",".",".",".",".",".",".",".",".",".","."
