"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Ancient and Medieval Art","201","001","123","2.900","9.8","22.8","28.5","18.7","9.8","0.8","3.3","5.7",".",".",".",".",".","0.8",".","."
"Renaissance to Modern Art","202","001","172","3.148","18.6","29.1","23.8","9.3","5.8","1.2","2.3","9.3",".",".",".",".",".",".",".","0.6"
"Intro-Africn Art&Architectr","241","001","41","3.782","73.2","7.3","9.8","4.9",".",".",".",".",".",".",".",".",".","4.9",".","."
"Art&Archaeology-Ancient Greece","300","001","25","3.458","32.0","32.0","24.0","8.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"Greek Painting","301","001","37","3.059","27.0","13.5","18.9","18.9","8.1","5.4",".","5.4",".",".",".",".","2.7",".",".","."
"Italian Art: 1250-1400","321","001","40","2.878","12.5","17.5","20.0","20.0","22.5",".",".","7.5",".",".",".",".",".",".",".","."
"Pnt&Graphc-German 1350-1530","330","001","19","3.654","42.1","15.8","5.3",".","5.3",".",".","31.6",".",".",".",".",".",".",".","."
"Bosch & Holbein to Bruegel","332","001","17","3.353","41.2","35.3","11.8",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"19th C Painting in Europe","350","001","68","3.470","32.4","23.5","11.8","1.5","1.5","1.5","1.5","1.5",".",".",".",".",".",".","25.0","."
"History of Photography","355","001","47","3.409","31.9","31.9","21.3","2.1","4.3","2.1",".","6.4",".",".",".",".",".",".",".","."
"Europn Arch:Modern Movemnts","358","001","30","2.828","30.0","20.0","10.0","13.3","6.7","6.7","10.0","3.3",".",".",".",".",".",".",".","."
"Am Dec Arts & Int: 1620-1840","363","001","36","3.200","25.0","25.0","25.0","8.3","13.9",".",".",".",".",".",".",".",".","2.8",".","."
"Arts of Japan","372","001","58","3.260","17.2","25.9","25.9","10.3","3.4",".",".","17.2",".",".",".",".",".",".",".","."
"Pre-Columbian Art","390","001","22","3.523","40.9","27.3","18.2",".",".","4.5",".","9.1",".",".",".",".",".",".",".","."
"Topics-Italian Renaissance Art","420","001","13","3.136","15.4","30.8","7.7","23.1","7.7",".",".","15.4",".",".",".",".",".",".",".","."
"Topics-Amer Material Culture","463","001","32","3.550","18.8","65.6","9.4",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Dimensions of Material Culture","464","001","20","3.500","40.0","30.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Art & Relig Prac-Medievl Japan","478","001","21","3.667","52.4","28.6","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem:Spec Topics-Art Hist","500","001","8","3.643","62.5","12.5",".",".","12.5",".",".","12.5",".",".",".",".",".",".",".","."
"Proseminar in Ancient Art","505","001","15","3.567","46.7","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"19th Cent European Art","555","001","16","3.500","50.0","18.8","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in Material Culture","563","001","16","3.438","31.3","37.5","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in African Art","579","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","001","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","15","3.821","60.0","33.3",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Special Topics-Art History","","Course Total","28","3.815","60.7","35.7",".",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"","681","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".",".","."
"Directed Study","698","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Practicum in Art History","701","001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 165 of 410",""
