"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"521
Philos of Social Sciences","001","","18","3.719","55.6","22.2","5.6","5.6",".",".",".","11.1",".",".",".",".",".",".",".","."
"541
Modern Ethical Theories","001","","27","3.074","18.5","29.6","37.0","7.4",".",".","7.4",".",".",".",".",".",".",".",".","."
"550
Philos of Moral Education","001","","12","3.125","25.0","25.0","41.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"553
Aesthetics","001","","17","2.882","23.5","17.6","17.6","17.6","17.6",".","5.9",".",".",".",".",".",".",".",".","."
"560
Metaphysics","001","","26","3.375","23.1","38.5","19.2","7.7","3.8",".",".","7.7",".",".",".",".",".",".",".","."
"571
Mathematical Logic","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"699
Directed Study","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Directed Study","008","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"830
Advanced Hist of Philosophy","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"903
Seminar: Epistemology","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Smr-Philosophy of Science","001","","17","3.625","64.7","23.5",".",".",".",".","5.9","5.9",".",".",".",".",".",".",".","."
"951
Seminar-Philosophy of Mind","001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"955
Soc-Pol Phil","001","","11","4.000","81.8",".",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
"990","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","34","",".",".",".",".",".",".",".","97.1",".",".",".","2.9",".",".",".","."
"999","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","7","3.824","71.4",".","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
