"","990
066","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
070","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
071","4","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","23","",".",".",".",".","",".","",".","",".","95.7","",".",".",".","4.3",".",".",".","."
"POP HLTH
810","Dept. Total","658","3.790","50.8","14.6","5.8",".","",".","",".","",".","28.0","",".",".",".","0.3","0.5",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.500","50.0",".","50.0",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Junior","","3","3.400","66.7",".","33.3",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Senior","","24","3.568","50.0","20.8","29.2",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Undergraduates","","29","3.553","51.7","17.2","31.0",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Special","","33","3.684","60.6","24.2","15.2",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Graduate","","184","3.825","65.8","15.8","5.4",".","",".","",".","",".","12.0","",".",".",".","1.1",".",".",".","."
"Prof Yr 1","","172","3.957","6.4","0.6",".",".","",".","",".","",".","93.0","",".",".",".",".",".",".",".","."
"Prof Yr 2","","6","3.889","66.7",".","16.7",".","",".","",".","",".","16.7","",".",".",".",".",".",".",".","."
"Prof Yr 3","","13","3.773","61.5","15.4","15.4",".","",".","",".","",".","7.7","",".",".",".",".",".",".",".","."
"Prof Yr 4","","221","3.802","70.1","23.1","5.0",".","",".","",".","",".",".","",".",".",".",".","1.4",".","0.5","."
"Professionals","","412","3.809","43.2","13.1","3.4",".","",".","",".","",".","39.3","",".",".",".",".","0.7",".","0.2","."
"","Dept. Total","658","3.790","50.8","14.6","5.8",".","",".","",".","",".","28.0","",".",".",".","0.3","0.5",".","0.2","."
