"","996
058","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","996
082","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","996
084","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research-Materials Chemistry","Course Total","25","",".",".",".",".",".",".",".","100.0","",".",".",".",".",".",".",".","."
"CHEM
224","Dept. Total","6342","2.965","26.0","13.0","25.6","9.7","14.5","4.2","1.9","4.5","",".",".",".","0.4","0.0","0.0",".","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1885","2.942","24.2","12.9","27.7","13.0","15.1","4.9","2.1",".","",".",".",".",".",".",".",".","."
"Sophomore","","1630","2.973","27.5","11.2","28.9","8.9","16.4","5.2","2.0",".","",".",".",".",".",".",".",".","0.1"
"Junior","","1169","2.871","23.8","15.0","26.1","10.1","17.5","4.6","2.7","0.1","",".",".",".",".",".",".",".","0.2"
"Senior","","878","2.927","27.6","14.7","24.7","10.3","16.6","3.8","2.2","0.2","",".",".",".",".",".",".",".","."
"Undergraduates","","5562","2.937","25.6","13.1","27.2","10.8","16.2","4.7","2.2","0.1","",".",".",".",".",".",".",".","0.1"
"Special","","76","3.109","40.8","7.9","17.1","9.2","17.1","3.9",".","1.3","",".",".",".",".","1.3","1.3",".","."
"Graduate","","929","3.508","42.4","9.6","10.4","1.1","0.3",".",".","33.2","",".",".",".","2.8",".","0.2",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0","",".",".",".",".",".",".",".","."
"Prof Yr 4","","4","4.000","75.0",".",".",".",".",".",".","25.0","",".",".",".",".",".",".",".","."
"Professionals","","5","4.000","60.0",".",".",".",".",".",".","40.0","",".",".",".",".",".",".",".","."
"","Dept. Total","6572","2.965","28.2","12.6","24.7","9.4","14.0","4.1","1.9","4.8","",".",".",".","0.4","0.0","0.0",".","0.0"
