"EDU","","","","","","","","","","","","","","","","","","","","",""
"","ART EDUCATION (DEPT OF ART) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","",""
"Art in Elementary Education","323","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art in Secondary Education","324","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Elem School Art","470","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Secondary School Art","493","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices in Art Ed","900","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Art Education","951","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Reading","","Course Total","","3","***","","","","","","","","","","","","","","","",""
