"MATHEMATICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"727
Calc-Variations&Rel Topics","001","","12","3.682","50.0","25.0","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"741
Abstract Algebra","001","","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"747
Lie Algebras","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"749
Analytic Number Theory","001","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"751
Introductory Topology I","001","","13","3.308","61.5",".","15.4",".","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"761
Differentiable Manifolds","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"763
Intro to Algebraic Geometry","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"770
Foundations of Mathematics","001","","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"773
Computability Theory","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Topics in Applied Math","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803
Experimental Design I","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"819
Partial Differential Equatn","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"823
Adv Topics-Complex Analysis","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"827
Fourier Analysis","001","","17","3.706","70.6",".","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"831
Theory of Probability","001","","16","3.571","31.3","37.5","18.8",".",".",".",".","6.3",".",".",".",".",".","6.3",".","."
"833
Topics in Probability","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"847
Topics in Algebra","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"865
Advanced Topics in Geometry","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"873
Adv Topics in Foundations","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"941","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"941","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"941","005","","12","3.929","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Algebra","Course Total","","16","3.947","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"95","001","","11","2.318","18.2","9.1","9.1","18.2","18.2","18.2","9.1",".",".",".",".",".",".",".",".","."
"95","002","","12","2.750","16.7","8.3","33.3","8.3","25.0","8.3",".",".",".",".",".",".",".",".",".","."
"Fundamental Math Skills","Course Total","","23","2.543","17.4","8.7","21.7","13.0","21.7","13.0","4.3",".",".",".",".",".",".",".",".","."
"951
Seminar in Topology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 257 of 410",""
