"","990
061","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
062","2","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
063","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research and Thesis","Course Total","16","",".",".",".",".",".","",".",".","87.5","",".",".",".","12.5","",".",".",".","."
"B M E
207","Dept. Total","516","3.609","36.4","25.4","11.6","1.9","0.2","",".","0.2","16.3","",".","4.7",".","3.3","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","11","3.500","18.2","63.6","18.2",".",".","",".",".",".","",".",".",".",".","",".",".",".","."
"Junior","","74","3.601","36.5","45.9","12.2","1.4",".","",".",".",".","",".","4.1",".",".","",".",".",".","."
"Senior","","231","3.572","43.3","29.4","15.6","2.2","0.4","",".","0.4",".","",".","8.7",".",".","",".",".",".","."
"Undergraduates","","316","3.576","40.8","34.5","14.9","1.9","0.3","",".","0.3",".","",".","7.3",".",".","",".",".",".","."
"Special","","9","3.700","33.3","11.1","11.1",".",".","",".",".","22.2","",".","22.2",".",".","",".",".",".","."
"Graduate","","236","3.682","23.3","8.9","5.1","1.7",".","",".",".","33.9","",".","19.9",".","6.8","",".",".","0.4","."
"Prof Yr 3","","5","4.000","20.0",".",".",".",".","",".",".","40.0","",".","20.0",".","20.0","",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".","",".",".","100.0","",".",".",".",".","",".",".",".","."
"Professionals","","6","4.000","16.7",".",".",".",".","",".",".","50.0","",".","16.7",".","16.7","",".",".",".","."
"","Dept. Total","567","3.609","33.2","23.1","10.6","1.8","0.2","",".","0.2","15.0","",".","12.9",".","3.0","",".",".","0.2","."
