"","990
028","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
031","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
035","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","39","",".",".",".",".","",".","",".",".","69.2","",".",".",".","30.8",".",".",".","."
"PHMCOL-M
724","Dept. Total","120","3.490","47.5","4.2","14.2",".","",".","",".","0.8","22.5","",".",".",".","10.0","0.8",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"724
PHMCOL-M","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","13","3.157","53.8","7.7","30.8",".","",".","",".","7.7",".","",".",".",".",".",".",".",".","."
"Undergraduates","","13","3.157","53.8","7.7","30.8",".","",".","",".","7.7",".","",".",".",".",".",".",".",".","."
"Graduate","","94","3.575","46.8","4.3","12.8",".","",".","",".",".","22.3","",".",".",".","12.8","1.1",".",".","."
"Prof Yr 3","","9","3.667","44.4",".","11.1",".","",".","",".",".","44.4","",".",".",".",".",".",".",".","."
"Prof Yr 4","","4","4.000","50.0",".",".",".","",".","",".",".","50.0","",".",".",".",".",".",".",".","."
"Professionals","","13","3.727","46.2",".","7.7",".","",".","",".",".","46.2","",".",".",".",".",".",".",".","."
"","Dept. Total","120","3.490","47.5","4.2","14.2",".","",".","",".","0.8","22.5","",".",".",".","10.0","0.8",".",".","."
