"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"","340
001","51","2.441","9.8","9.8","19.6","27.5","17.6","7.8","7.8",".",".",".",".",".",".",".",".","."
"","002
340","45","2.989","22.2","17.8","26.7","15.6","13.3","2.2","2.2",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","Course Total","96","2.698","15.6","13.5","22.9","21.9","15.6","5.2","5.2",".",".",".",".",".",".",".",".","."
"","342
001","41","2.854","7.3","17.1","36.6","26.8","9.8",".","2.4",".",".",".",".",".",".",".",".","."
"","342
002","44","3.182","18.2","31.8","29.5","13.6","4.5","2.3",".",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","Course Total","85","3.024","12.9","24.7","32.9","20.0","7.1","1.2","1.2",".",".",".",".",".",".",".",".","."
"","349
002","9","2.833",".","11.1","55.6","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","349
003","15","3.167","6.7","26.7","60.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","349
004","11","3.273",".","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","349
005","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","349
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","349
007","16","3.406","31.3","31.3","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","60","3.292","20.0","30.0","40.0","8.3","1.7",".",".",".",".",".",".",".",".",".",".","."
"","351
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","351
002","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","Course Total","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","352
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","352
002","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","Course Total","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
001","41","2.939","22.0","12.2","31.7","9.8","19.5","4.9",".",".",".",".",".",".",".",".",".","."
"","361
002","48","2.833","12.5","20.8","31.3","16.7","8.3","8.3","2.1",".",".",".",".",".",".",".",".","."
"","361
003","42","2.655","21.4","7.1","31.0",".","21.4","19.0",".",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","131","2.809","18.3","13.7","31.3","9.2","16.0","10.7","0.8",".",".",".",".",".",".",".",".","."
"","363
001","48","2.809","12.5","20.8","16.7","25.0","18.8","2.1","2.1","2.1",".",".",".",".",".",".",".","."
"","363
002","50","2.520","6.0","8.0","30.0","28.0","18.0","4.0","6.0",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","98","2.660","9.2","14.3","23.5","26.5","18.4","3.1","4.1","1.0",".",".",".",".",".",".",".","."
"","364
001","60","3.500","46.7","21.7","26.7","1.7","1.7",".","1.7",".",".",".",".",".",".",".",".","."
"","364
002","43","3.442","41.9","23.3","20.9","9.3","4.7",".",".",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","103","3.476","44.7","22.3","24.3","4.9","2.9",".","1.0",".",".",".",".",".",".",".",".","."
"Engr Measure & Instrumentation","368
001","101","2.946","9.9","19.8","41.6","12.9","13.9","1.0","1.0",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","76","2.809","11.8","13.2","23.7","30.3","19.7","1.3",".",".",".",".",".",".",".",".",".","."
"","417
001","13","3.538","46.2","30.8","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","417
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Polymer Processing","Course Total","14","3.571","50.0","28.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","418
001","45","3.667","48.9","35.6","15.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","46","3.674","50.0","34.8","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","419
001","20","3.500","30.0","50.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","419
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals-Injection Molding","Course Total","24","3.563","37.5","45.8","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","8","3.688","75.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Metal Cutting","429
001","23","3.826","73.9","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
