"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"467","002","","15","3.467","20.0","53.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","Course Total","","27","3.444","22.2","48.1","25.9","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"470
Contemp Political Discourse","001","","113","3.848","73.5","22.1","2.7","0.9",".",".",".","0.9",".",".",".",".",".",".",".","."
"556
Am Film Inds-Studio Sys Era","001","","55","3.027","20.0","16.4","30.9","21.8","9.1",".","1.8",".",".",".",".",".",".",".",".","."
"562
Thry-Deliberation&Controversy","001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"565
Communictn&Interethnc Behav","001","","41","3.402","26.8","51.2","9.8","9.8",".",".","2.4",".",".",".",".",".",".",".",".","."
"571
Contemporary Rhetorical Theory","001","","20","3.600","55.0","25.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"575
Communicatn in Complex Orgs","001","","23","3.370","21.7","34.8","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"576
Prin-Rhetorical Criticism","001","","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"609","001","","11","3.045","18.2","45.5","9.1","18.2",".",".","9.1",".",".",".",".",".",".",".",".","."
"609","002","","13","3.269","7.7","46.2","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"609","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Production","Course Total","","30","3.333","30.0","36.7","20.0","10.0",".",".","3.3",".",".",".",".",".",".",".",".","."
"610","001","","21","3.786","66.7","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"610","002","","15","3.833","86.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Topics-Rhetoric&Pub Address","Course Total","","36","3.806","75.0","16.7","5.6",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"613","001","","11","3.318","45.5","9.1","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"613","002","","24","3.167","16.7","29.2","25.0","29.2",".",".",".",".",".",".",".",".",".",".",".","."
"613","004","","24","3.521","29.2","50.0","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Topics; Broadcasting & Film","Course Total","","59","3.339","27.1","33.9","20.3","16.9","1.7",".",".",".",".",".",".",".",".",".",".","."
"614","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","Course Total","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"615","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Secnd Fld Exp-Communication","Course Total","","3","***","","","","","","","","","","","","","","","",""
"616
Mass Media and Youth","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"617
Hlth Communication-Info Age","001","","24","3.646","45.8","41.7","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"651
Adv Video Productn&Directn","001","","20","2.850","10.0","20.0","25.0","20.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"664
Classical Film Theory","001","","18","3.417","38.9","27.8","16.7","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"667
Hist of Amer Public Address","001","","14","3.692","57.1","14.3","21.4",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"681","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
