"","990
030","2","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
032","2","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
038","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","28","",".",".",".",".",".","",".",".","75.0","",".",".",".","25.0","",".",".",".","."
"DY SCI
292","Dept. Total","292","3.424","49.0","14.0","16.1","6.5","3.4","",".","0.3","7.5","",".",".",".","2.4","",".","0.3",".","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","16","2.867","12.5","12.5","56.3","12.5",".","",".","6.3",".","",".",".",".",".","",".",".",".","."
"Sophomore","","44","3.691","77.3","4.5","13.6","2.3",".","",".",".",".","",".",".",".",".","",".",".",".","2.3"
"Junior","","70","3.403","52.9","8.6","21.4","10.0","5.7","",".",".",".","",".",".",".",".","",".","1.4",".","."
"Senior","","80","3.338","43.8","21.3","15.0","11.3","7.5","",".",".","1.3","",".",".",".",".","",".",".",".","."
"Undergraduates","","210","3.361","51.4","12.9","20.0","9.0","4.8","",".","0.5","0.5","",".",".",".",".","",".","0.5",".","0.5"
"Special","","2","3.667","50.0",".","50.0",".",".","",".",".",".","",".",".",".",".","",".",".",".","."
"Graduate","","81","3.795","42.0","17.3","4.9",".",".","",".",".","25.9","",".",".",".","8.6","",".",".","1.2","."
"","Dept. Total","293","3.424","48.8","14.0","16.0","6.5","3.4","",".","0.3","7.5","",".",".",".","2.4","",".","0.3","0.3","0.3"
