"SLAVIC (SLAVIC LANGUAGES)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"","101
001","","8","3.188","25.0","37.5","12.5",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","101
002","","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","","13","3.500","61.5","15.4","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"","004
101","","12","3.333","33.3","33.3","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","101
005","","22","3.477","40.9","36.4","9.1","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","101
006","","10","3.450","50.0","10.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"1st Semester Russian","Course Total","","80","3.481","47.5","26.3","11.3","7.5","6.3","1.3",".",".",".",".",".",".",".",".",".","."
"First Semester Czech","115
001","","15","2.964","33.3","20.0","6.7","13.3","6.7","6.7","6.7",".",".",".",".",".",".",".",".","6.7"
"1st Semester Serbo-Croatian","141
001","","16","3.857","75.0",".","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Russ Honor Tutorial-Slav101","181
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","","16","3.469","43.8","31.3","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","203
002","","19","3.375","36.8","15.8","15.8","5.3","10.5",".",".","15.8",".",".",".",".",".",".",".","."
"","203
003","","20","3.650","60.0","15.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Russian","Course Total","","55","3.510","47.3","20.0","14.5","7.3","5.5",".",".","5.5",".",".",".",".",".",".",".","."
"Third Semester Polish","207
001","","16","3.188","43.8","18.8","12.5","6.3","6.3","12.5",".",".",".",".",".",".",".",".",".","."
"3rd Semester Serbo-Croatian","251
001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","","11","3.800","63.6","18.2","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","275
002","","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Russian I","Course Total","","20","3.684","55.0","25.0","10.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Third Year Polish I","277
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Polish II","278
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Russ Honor Tutorial-Slav203","283
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Intensive Polish","301
001","","9","3.722","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Russian Lang & Culture I","315
001","","13","3.577","61.5","7.7","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Year Russian I","321
001","","23","3.391","34.8","30.4","17.4","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"Fourth Year Polish I","331
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem Intensive Serbo-Cr","341
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem Intensive Czech","351
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Tolstoy","424
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Russia Today in Lit and Film","439
001","","7","3.357","42.9","42.9",".",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Soviet Literature","440
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Istorija srpske/hrvatske li","449
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist lit polsk po roku 1863","472
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Slavic Crit Theory&Practice","700
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
