"LANG & CULTURES OF ASIA - LA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","",""
"Fifth Semester Turkish & Azeri","539","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Hindi","553","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Persian","563","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Urdu","571","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thai Poetry","617","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Readings in Hindi Language","653","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Readings in Tibetan","677","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"LCA LANG
522","","Dept. Total","","272","3.659","65.4","16.5","9.2","4.0","2.9","0.4","0.4","1.1",".",".",".",".",".",".",".","."
