"","999
004","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
015","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
039","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","","","","","",""
"KINES
742","Dept. Total","734","3.700","60.1","22.6","8.4","3.3","1.5","",".","",".","1.8","0.1","1.5","",".","0.7","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","13","3.654","46.2","38.5","15.4",".",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Sophomore","","113","3.598","46.0","34.5","15.0","3.5","0.9","",".","",".",".",".",".","",".",".","",".",".",".","."
"Junior","","161","3.655","57.8","26.7","9.3","5.0","1.2","",".","",".",".",".",".","",".",".","",".",".",".","."
"Senior","","386","3.733","68.9","19.2","7.0","2.8","2.1","",".","",".",".",".",".","",".",".","",".",".",".","."
"Undergraduates","","673","3.695","62.0","23.9","9.1","3.4","1.6","",".","",".",".",".",".","",".",".","",".",".",".","."
"Special","","13","3.483","30.8","30.8","7.7","7.7",".","",".","",".","23.1",".",".","",".",".","",".",".",".","."
"Graduate","","48","3.971","41.7","2.1",".",".",".","",".","",".","20.8","2.1","22.9","",".","10.4","",".",".",".","."
"","Dept. Total","734","3.700","60.1","22.6","8.4","3.3","1.5","",".","",".","1.8","0.1","1.5","",".","0.7","",".",".",".","."
