"","999
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","9","4.000","77.8",".",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"E C E
320","Dept. Total","2251","3.246","36.9","16.1","18.0","7.6","7.8","1.8","1.1","6.8","0.0","0.1",".","2.9","0.3","0.2","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Freshmen","","53","2.764","18.9","3.8","24.5","20.8","30.2","1.9",".",".",".",".",".",".",".",".",".","."
"Sophomore","","131","3.170","36.6","19.8","19.8","11.5","8.4","1.5",".",".",".",".",".",".",".",".",".","2.3"
"Junior","","453","3.153","37.1","17.7","23.8","7.9","9.9","1.3","1.8",".",".",".",".",".","0.2",".","0.2","."
"Senior","","874","3.065","34.7","17.5","20.9","9.6","11.1","3.4","1.7","0.6",".",".",".",".","0.1","0.3",".","."
"Undergraduates","","1511","3.091","35.0","17.3","21.8","9.7","11.2","2.6","1.5","0.3",".",".",".",".","0.1","0.2","0.1","0.2"
"Special","","56","3.453","42.9","12.5","21.4","8.9","1.8","1.8",".","1.8",".",".",".",".","3.6","1.8","3.6","."
"Graduate","","786","3.654","35.4","12.0","8.0","2.7","0.8","0.1","0.1","18.6","0.1","13.0","0.1","8.3","0.4",".","0.1","0.1"
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","2354","3.246","35.3","15.4","17.2","7.3","7.5","1.7","1.0","6.5","0.0","4.3","0.0","2.8","0.3","0.2","0.2","0.2"
