"E ASIAN LANGUAGES & LITERA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"First Semester Chinese","101","001","106","3.690","59.4","28.3","4.7","4.7","0.9","0.9",".","0.9",".",".",".",".",".",".",".","."
"First Semester Japanese","103","001","126","3.161","31.7","22.2","16.7","14.3","8.7","3.2","1.6","1.6",".",".",".",".",".",".",".","."
"Elementary Korean","105","001","32","3.609","40.6","43.8","12.5","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Conversatn Chinese-Prof I","111","001","10","3.938","70.0","10.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","122","001","14","3.846","71.4","14.3","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","122","002","14","3.393","50.0","14.3","7.1","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"Elementary Chinese","","Course Total","28","3.611","60.7","14.3","7.1","10.7","3.6",".",".","3.6",".",".",".",".",".",".",".","."
"","124","001","18","2.971","11.1","16.7","38.9","11.1","16.7",".",".",".",".",".",".",".",".",".",".","5.6"
"","124","002","13","3.667","46.2","30.8","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","124","003","10","3.556","40.0","20.0","30.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Elementary Japanese","","Course Total","41","3.329","29.3","22.0","29.3","4.9","7.3",".",".","4.9",".",".",".",".",".",".",".","2.4"
"Third Semester Chinese","201","001","58","3.455","46.6","29.3","6.9","6.9","1.7","3.4","1.7","1.7","1.7",".",".",".",".",".",".","."
"Third Semester Japanese","203","001","54","3.245","31.5","29.6","14.8","7.4","11.1","3.7",".",".","1.9",".",".",".",".",".",".","."
"Intro-Japanese Culture&Civ","253","001","42","3.202","14.3","45.2","19.0","14.3","4.8","2.4",".",".",".",".",".",".",".",".",".","."
"Religion-Hist&Culture: East","273","001","20","3.200","15.0","35.0","30.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","25","3.500","40.0","40.0","12.0",".",".",".","4.0","4.0",".",".",".",".",".",".",".","."
"","299","016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Humanities Topics in EAS","300","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Chinese","301","001","47","3.670","61.7","17.0","14.9","6.4",".",".",".",".",".",".",".",".",".",".",".","."
"5th Semester Japanese","303","001","38","3.473","39.5","26.3","23.7","2.6","5.3",".",".","2.6",".",".",".",".",".",".",".","."
"First Semester Chinese","311","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Chinese","317","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Japanese","319","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Yr Classical Chinese","321","001","27","3.352","29.6","37.0","18.5","3.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"First Yr Classical Japanese","323","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Korean","325","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Classic Chinese-Non-Majors","341","001","29","3.482","34.5","44.8","10.3",".","3.4","3.4",".","3.4",".",".",".",".",".",".",".","."
"Third Semester Korean","345","001","27","3.907","88.9","7.4",".","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Korean","347","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Taoism","350","001","25","2.947","8.0","28.0","20.0","8.0","4.0","4.0","4.0","16.0",".",".",".",".","8.0",".",".","."
"Survey-Chinese Literature","351","001","26","3.440","50.0","7.7","23.1","7.7","7.7",".",".","3.8",".",".",".",".",".",".",".","."
"Survey-Japanese Literature","353","001","19","3.289","10.5","42.1","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Language in Japanese Society","358","001","22","3.591","40.9","40.9","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Tech Japanese I","374","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Manga","376","001","28","3.304","39.3","25.0","28.6",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Seventh Semester Chinese","401","001","14","3.702","71.4","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Seventh Semester Japanese","403","001","22","3.357","31.8","27.3","13.6","22.7",".",".",".","4.5",".",".",".",".",".",".",".","."
"Seventh Semester Korean","405","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Japanese for Bus & Industry","430","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
