"FOREST AND WILDLIFE ECOLO","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"Introduction to Forestry","100","001","123","3.508","56.1","18.7","13.0","5.7","1.6","1.6","2.4","0.8",".",".",".",".",".",".",".","."
"Independent Study","299","026","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles-Wildlife Ecology","318","001","181","2.628","5.0","23.2","24.3","16.0","18.8","8.3","3.3",".",".",".",".",".","1.1",".",".","."
"Ecol Prin Appl to Wildlife","319","001","32","3.375","25.0","34.4","31.3","9.4",".",".",".",".",".",".",".",".",".",".",".","."
"Rsrce-Oriented Recreatn Mgt","330","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","41","3.125","34.1","9.8","29.3","4.9","14.6","4.9",".",".",".",".",".",".","2.4",".",".","."
"","375","001","6","3.083",".","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","375","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375","003","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375","004","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","30","3.625","70.0","13.3","13.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","399","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","023","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiologicl Animal Ecology","401","001","40","3.163","15.0","32.5","35.0","15.0",".",".","2.5",".",".",".",".",".",".",".",".","."
"Dendrology","402","001","13","3.308","46.2","7.7","23.1","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"Tree Physiology","415","001","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Vegetation of Wisconsin","455","001","6","3.200","33.3",".","33.3",".","16.7",".",".",".",".",".",".",".","16.7",".",".","."
"General Ecology","460","001","9","3.222","44.4",".","44.4",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Insects&Diseases-Forest Mgt","500","001","16","2.781","18.8","6.3","31.3",".","43.8",".",".",".",".",".",".",".",".",".",".","."
"Renewable Resources Policy","515","001","20","3.500","35.0","35.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Diseases of Wildlife","548","001","50","3.360","36.0","14.0","38.0","10.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Forest Ecology","550","001","63","3.761","66.7","14.3","14.3",".","1.6",".",".",".",".",".",".",".",".",".","3.2","."
"Wildlife Management Tech","561","001","39","3.231","38.5","10.3","35.9",".","12.8",".","2.6",".",".",".",".",".",".",".",".","."
"","571","001","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","571","002","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","","Course Total","16","3.531","31.3","43.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Resource Mgmt","590","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium in Env Tox","606","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ecotox: The Chemical Players","632","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ecotox: Impacts on Individuals","633","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ecotox: Populatn, Comm, Ecosys","634","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","3","***","","","","","","","","","",".",".",".",".",".",".","."
