"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"209
001
Intro to Global Cultures","232","3.628","56.5","22.0","15.1","4.7","0.4","0.4","0.4","0.4",".","",".",".",".","",".",".",".","."
"252
001
Contemporary Life Sciences","132","3.067","26.5","4.5","43.2","2.3","18.9",".","0.8","2.3",".","",".",".",".","","0.8","0.8",".","."
"275
001","13","2.923",".","30.8","38.5","15.4","15.4",".",".",".",".","",".",".",".","",".",".",".","."
"275
002","17","3.824","82.4","5.9","5.9","5.9",".",".",".",".",".","",".",".",".","",".",".",".","."
"Course Total
Special Topics in ILS","30","3.433","46.7","16.7","20.0","10.0","6.7",".",".",".","",".",".",".","",".",".",".",".","."
"338
001
Peer Mentor 1st-Yr Lib Ed Smr","5","***","","","","","","","","","","",".",".",".","",".",".",".","."
"357
001
Peer Mentor Seminar","16","4.000","100.0",".",".",".",".",".",".",".",".","",".",".",".","",".",".",".","."
"371
001
Interdis in Arts & Humanities","20","3.750","65.0","25.0","5.0","5.0",".",".",".",".",".","",".",".",".","",".",".",".","."
"372
002
Interdis Studies-Soc Sciences","15","3.900","80.0","20.0",".",".",".",".",".",".",".","",".",".",".","",".",".",".","."
"400
001
Capstone Integration Seminar","12","3.875","75.0","25.0",".",".",".",".",".",".",".","",".",".",".","",".",".",".","."
"490
008","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"490
018","3","***","","","","","","","","","","",".",".",".","",".",".",".","."
"490
019","6","3.471","66.7",".","16.7",".","16.7",".",".",".",".","",".",".",".","",".",".",".","."
"Course Total
Rsch-Integrated LiberalStudies","10","3.630","70.0","10.0","10.0",".","10.0",".",".",".","",".",".",".","",".",".",".",".","."
"ILS
Dept. Total
500","1497","3.417","31.3","18.2","19.2","4.1","3.3","0.5","0.3","0.3","",".","22.2","0.3","",".","0.1","0.1",".","0.2"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","694","3.378","26.2","14.7","19.0","4.0","3.2","0.3","0.3",".","",".","31.6","0.4","",".",".",".",".","0.3"
"Sophomore","362","3.470","31.2","24.0","16.6","3.6","1.9","0.6","0.3","0.3","",".","21.0","0.3","",".",".",".",".","0.3"
"Junior","220","3.448","36.8","20.0","25.9","4.1","2.3","0.5",".","0.5","",".","9.5",".","",".",".","0.5",".","."
"Senior","218","3.398","42.2","18.3","17.4","5.0","6.9","0.9","0.9","0.9","",".","6.9",".","",".","0.5",".",".","."
"Undergraduates","1494","3.417","31.3","18.3","19.2","4.1","3.3","0.5","0.3","0.3","",".","22.2","0.3","",".","0.1","0.1",".","0.2"
"Special","3","3.000","33.3",".",".",".","33.3",".",".",".","",".","33.3",".","",".",".",".",".","."
"Dept. Total","1497","3.417","31.3","18.2","19.2","4.1","3.3","0.5","0.3","0.3","",".","22.2","0.3","",".","0.1","0.1",".","0.2"
