"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"150
Topics & Careers in Vet Sci","001","","31","3.967","90.3","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","3.2"
"210
HIV: Sex, Society and Science","001","","54","3.407","51.9","5.6","31.5","1.9","7.4",".","1.9",".",".",".",".",".",".",".",".","."
"299
Independent Study","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Veterinary Immunology","001","","79","3.222","11.4","34.2","43.0","10.1","1.3",".",".",".",".",".",".",".",".",".",".","."
"512
Intro-Veterinary Epidemolgy","001","","80","3.494","48.8","15.0","27.5","3.8","5.0",".",".",".",".",".",".",".",".",".",".","."
"513
Veterinary Virology","001","","79","3.392","21.5","38.0","38.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"517
Veterinary Bact & Mycology","001","","80","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"528
Immunology","001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"559
Veterinary General Path","001","","79","3.677","49.4","36.7","13.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Veterinary Systemic Path I","001","","79","3.335","26.6","27.8","35.4","6.3","3.8",".",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","29","4.000","93.1",".",".",".",".",".",".","6.9",".",".",".",".",".",".",".","."
"675
Special Topics","001","","11","4.000","9.1",".",".",".",".",".",".","90.9",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","28","4.000","53.6",".",".",".",".",".",".","46.4",".",".",".",".",".",".",".","."
"720
Adv Immunology: Crit Thinking","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920
Thesis Research Seminar","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"930","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"930","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"930","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"930","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Seminar","Course Total","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
