"FINANCE, INVESTMENT & BANKI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","",""
"970
Seminar-Investments (Ph.D.)","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"972
Topics Seminar-Finance PhD","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"973
Seminar-Workshop in Finance","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","152","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Finance","Course Total","","3","***","","","","","","","","","","","","","","","",""
"999
Reading & Rsch-Finance PhD","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"FINANCE
233","Dept. Total","","1440","3.308","30.9","23.1","30.7","8.0","5.1","0.5","0.6","0.6",".",".",".","0.3","0.1","0.2",".","."
