"AFRICAN LANGUAGES & LITERA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","",""
"Intro-African Lang and Lit","201
001","39","3.744","69.2","17.9","7.7","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","210
001","358","3.092","28.8","16.2","25.1","14.8","10.6","1.1","2.5","0.6",".",".",".",".",".","0.3",".","."
"Intro-Yoruba Life & Culture","230
001","21","3.476","52.4","23.8","14.3","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","56","3.152","30.4","16.1","32.1","7.1","10.7","1.8","1.8",".",".",".",".",".",".",".",".","."
"Intro-African Linguistics","301
001","17","3.438","41.2","35.3","11.8",".",".",".","5.9",".",".",".",".",".",".","5.9",".","."
"","321
001","16","3.604","50.0","12.5","31.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","003
321","19","3.462","36.8","47.4","5.3",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","321
004","14","3.679","57.1","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
006","18","3.684","66.7","16.7","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","321
007","13","3.645","69.2","7.7","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","321
008","12","3.569","58.3","8.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","321
009","14","3.338","42.9","14.3","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"First Semester Arabic","Course Total","106","3.568","53.8","19.8","16.0","6.6","1.9","0.9",".","0.9",".",".",".",".",".",".",".","."
"","323
001","16","3.233","50.0","6.3","12.5","12.5",".","12.5",".","6.3",".",".",".",".",".",".",".","."
"","323
002","16","3.467","43.8","12.5","25.0","12.5",".",".",".","6.3",".",".",".",".",".",".",".","."
"","323
003","17","3.281","41.2","29.4","11.8",".",".","5.9","5.9","5.9",".",".",".",".",".",".",".","."
"","323
004","17","3.471","47.1","11.8","35.3",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Arabic","Course Total","66","3.365","45.5","15.2","21.2","6.1","1.5","4.5","1.5","4.5",".",".",".",".",".",".",".","."
"","331
001","19","3.398","15.8","63.2","5.3",".",".","5.3",".","5.3",".",".",".",".",".",".",".","5.3"
"","331
002","22","3.639","40.9","45.5","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Swahili","Course Total","41","3.534","29.3","53.7","9.8",".",".","2.4",".","2.4",".",".",".",".",".",".",".","2.4"
"Third Semester Swahili","333
001","13","2.962","23.1","7.7","46.2",".","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"1st Sem-Lang-South Africa","335
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Sem-Lang-South Africa","337
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","371
001","17","3.794","70.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","7","3.632","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Yoruba","Course Total","24","3.748","66.7","20.8","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Yoruba","373
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem-Lang of West Africa","391
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Sem-Lang of West Africa","393
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Gr","435
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","445
001","16","3.633","50.0","18.8","25.0",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","445
002","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","Course Total","26","3.700","57.7","19.2","19.2",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Mod African Lit in English","453
001","29","3.730","75.9","17.2","3.4",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"Fifth Semester Yoruba","475
001","10","2.850","10.0","50.0","10.0",".","20.0",".","10.0",".",".",".",".",".",".",".",".","."
"","669
002","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","669
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","669
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","16","3.469","31.3","43.8","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"S African Oral&Written Lit","935
001","10","3.813","60.0","10.0","10.0",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Intdept Smr-African Studies","983
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","Page 158 of 410",""
